foldID,Kolmogorov-Smirnov statistic,Wasserstein distance
foldID_1800km_Hexagon,0.08537132715440741,26.41376344490549
foldID_1600km_Hexagon,0.08268732005521594,28.623082194009427
foldID_1400km_Hexagon,0.1671650759219089,60.89849523184999
foldID_1900km_Hexagon,0.18614659830408203,70.53625890582273
foldID_1300km_Hexagon,0.17999252612896866,79.11457107577701
foldID_1200km_Hexagon,0.14094255570893316,80.74748722783801
foldID_1500km_Hexagon,0.21470246499704201,92.48087258624884
foldID_900km_Hexagon,0.21499656872411754,96.27887222549612
foldID_1000km_Hexagon,0.1478377637546835,98.97644241115972
foldID_1100km_Hexagon,0.1917315322421613,102.60043617704613
foldID_800km_Hexagon,0.19445860776967067,108.74350360904221
foldID_2000km_Hexagon,0.19806657464011043,129.34010381602243
foldID_700km_Hexagon,0.29552674028791165,175.0935710250527
foldID_600km_Hexagon,0.340182685860777,197.9979390757994
foldID_500km_Hexagon,0.35510707947150466,216.29573218888012
foldID_400km_Hexagon,0.4343306054032735,238.54812833477
foldID_300km_Hexagon,0.4658797673042792,246.35950792724137
foldID_200km_Hexagon,0.5697265628081246,291.76483655720665
foldID_100km_Hexagon,0.6296022283573259,315.32562908022527
sample-to-sample,0.8476337211595346,378.73568032665366
