,StDev_MAE,cName,Mean_MAE,Mean_R2,Mean_RMSE,StDev_RMSE,StDev_R2
0,0.06625849360996341,Archaeospora_rf_VPS2_LP6,0.1911125870645435,0.07402206634841213,0.925661032872325,0.6171039501390039,0.32715184484892196
1,0.06602712165551257,Archaeospora_rf_VPS2_LP5,0.18927569450068193,0.07277718121342605,0.9224529798777592,0.6145331986616396,0.35800419225087415
2,0.06632349502468217,Archaeospora_rf_VPS2_LP7,0.19305532394452257,0.0719740058747404,0.9311311735335644,0.6211569882508201,0.29082234807176593
3,0.06543389505912163,Archaeospora_rf_VPS2_LP4,0.18681785410461427,0.06730435960998477,0.9168612527457546,0.6083598074181141,0.3896369531782303
4,0.06598457200300206,Archaeospora_rf_VPS3_LP6,0.1902329501316869,0.06184822611607131,0.9234206858822928,0.6123251827784386,0.3483694231643863
5,0.06607151354584909,Archaeospora_rf_VPS3_LP7,0.19241869636543538,0.06158161145860695,0.9265524533565295,0.6143876725463943,0.31466993842788843
6,0.06584400438588134,Archaeospora_rf_VPS3_LP5,0.18883924044312828,0.05500377359608606,0.9192727363528466,0.6076214563749256,0.3850254113979604
7,0.06535986037989171,Archaeospora_rf_VPS4_LP5,0.18863311359322338,0.0508070551717954,0.9172657219733805,0.6036087060580317,0.3767661457307269
8,0.06538027736616964,Archaeospora_rf_VPS4_LP6,0.19057930531422154,0.050517008214723824,0.9218429083118647,0.6073946650003014,0.34616663195721853
9,0.06599621723985301,Archaeospora_rf_VPS4_LP7,0.1924011205176603,0.05021588456856964,0.9258723773854272,0.6110143103340516,0.3240778474230557
