,Residuals,ectomycorrhizal_richness_Predicted,ectomycorrhizal_richness_Classified,ectomycorrhizal_richness_Regressed,SG_SOC_Content_005cm,ectomycorrhizal_richness,EarthEnvTopoMed_TopoPositionIndex,sequencing_platformPacBio,sample_id,CGIAR_PET,EarthEnvTexture_CoOfVar_EVI,primersITS86F_ITS4,primers5_8S_Fun_ITS4_Fun,ConsensusLandCover_Human_Development_Percentage,primersITS3ngs1_to_5___ITS3ngs10_ITS4ngs,primersITS3ngs1_to_ITS3ngs11_ITS4ngs,MODIS_NPP,EarthEnvTopoMed_AspectSine,primersITS_S2F___ITS3_mixed_1_1_ITS4,EarthEnvTopoMed_Slope,sample_typesoil,sequencing_platform454Roche,EarthEnvTexture_Correlation_EVI,sequencing_platformIllumina,EarthEnvTopoMed_Elevation,sequencing_platformIonTorrent,CHELSA_BIO_Precipitation_Seasonality,sample_typetopsoil,primersITS9MUNngs_ITS4ngsUni,primersgITS7_ITS4,primersITS1_ITS4,SG_Sand_Content_005cm,CHELSA_BIO_Annual_Mean_Temperature,primersgITS7_ITS4m,primersITS1F_ITS4_then_fITS7_ITS4,primersgITS7ngs_ITS4ngsUni,SG_Soil_pH_H2O_005cm,CHELSA_BIO_Max_Temperature_of_Warmest_Month,primersfITS7_ITS4,GlobBiomass_AboveGroundBiomass,primersgITS7_ITS4_ITS4arch,primersITS3_KYO2_ITS4,Resolve_Biome,EarthEnvTopoMed_AspectCosine,CHELSA_BIO_Annual_Precipitation,EarthEnvTexture_Homogeneity_EVI,primersITS3_ITS4,primersgITS7_ITS4ngs,EsaCci_BurntAreasProbability,primersITS1F_ITS4,CV_Fold_Random,primersgITS7_ITS4_then_ITS9_ITS4,primersITS1F_ITS4_then_ITS3_ITS4,CV_Fold_Spatial,primersITS1ngs_ITS4ngs_or_ITS1Fngs_ITS4ngs,primersfITS9_ITS4,SG_Depth_to_bedrock,sample_typerhizosphere_soil,GHS_Population_Density
0,-109.20048544627927,113.7215116240343,1,113.7215116240343,194.938125610352,222.92199707031358,3.75,1,GF4T864otu,320,990.0,0,0,0,0,0,64.4000015275393,0.0697802379727364,0,10.0636777877808,1,0,3458.0,0,244.5,0,34.4000015258789,0,1,0,0,41.8103294372559,-114.500282845926,0,0,0,62.7887649536133,39.4665087880021,0,0.0,0,0,11,-0.997510969638824,290.798309326172,4079.0,0,0,0,0,9,0,0,3,0,0,142.121780395508,0,0.0
1,-165.44340690093495,136.88358894867358,1,136.88358894867358,136.103088378906,302.3269958496085,0.125,1,GF4T310otu,432,1214.0,0,0,0,0,0,768.661315917969,-0.3327476978302,0,2.79001665115356,1,0,4359.0,0,179.5,0,23.4016742706299,0,1,0,0,52.7117080688477,-34.4832593220008,0,0,0,52.6497039794922,104.549941991148,0,0.0,0,0,11,0.943010926246643,1187.84130859375,2899.0,0,0,0,0,10,0,0,2,0,0,145.522598266602,0,0.0
2,-23.373023537274086,25.876976462726148,1,25.876976462726148,241.717071533203,49.250000000000234,44.125,0,S000540,464,1109.0,0,0,28,0,0,3806.85498046875,-0.0280591323971748,0,20.100887298584,1,1,3344.0,0,3698.5,0,34.1050071716309,0,0,0,0,48.9444007873535,68.47220699057,0,0,0,51.5411376953125,108.47220699057,0,95.5157318115234,0,0,10,-0.60227507352829,5601.9111328125,2741.0,1,0,0,0,9,0,0,3,0,0,50.3056869506836,0,0.0
3,0.061058701935071014,8.950058640899929,1,8.950058640899929,178.0,8.888999938964858,0.0,0,S008936,544,1038.0000001649,0,0,0,0,0,1752.19995145035,-0.707106233591233,0,0.0,1,1,2997.00000047659,0,427.0,0,39.0983505249023,0,0,0,0,46.3350296020508,8.5,0,0,0,52.6649703979492,164.5,0,22.9959106445313,0,0,6,-0.707107305877466,776.765869140625,2462.00000039176,0,0,0,0,8,0,0,9,0,1,183.974563598633,0,0.0
4,-14.615941343841325,8.950058640899929,1,8.950058640899929,178.0,23.565999984741254,0.0,0,S008935,544,1038.0000001649,0,0,0,0,0,1752.19995145035,-0.707106233591233,0,0.0,1,1,2997.00000047659,0,427.0,0,39.0983505249023,0,0,0,0,46.3350296020508,8.5,0,0,0,52.6649703979492,164.5,0,22.9959106445313,0,0,6,-0.707107305877466,776.765869140625,2462.00000039176,0,0,0,0,10,0,0,9,0,1,183.974563598633,0,0.0
5,-7.742777001891879,8.382222998108142,1,8.382222998108142,178.0,16.12500000000002,0.0,0,S009016,544,1038.0000001649,0,0,0,0,0,1752.19995145035,-0.707106233591233,0,0.0,1,1,2997.00000047659,0,427.0,0,39.0983505249023,0,0,1,0,46.3350296020508,8.5,0,0,0,52.6649703979492,164.5,0,22.9959106445313,0,0,6,-0.707107305877466,776.765869140625,2462.00000039176,0,0,0,0,9,0,0,9,0,0,183.974563598633,0,0.0
6,1.4092229485171073,8.382222998108142,1,8.382222998108142,178.0,6.973000049591035,0.0,0,S009017,544,1038.0000001649,0,0,0,0,0,1752.19995145035,-0.707106233591233,0,0.0,1,1,2997.00000047659,0,427.0,0,39.0983505249023,0,0,1,0,46.3350296020508,8.5,0,0,0,52.6649703979492,164.5,0,22.9959106445313,0,0,6,-0.707107305877466,776.765869140625,2462.00000039176,0,0,0,0,6,0,0,9,0,0,183.974563598633,0,0.0
7,-128.9321081276788,79.01289919653954,1,79.01289919653954,141.552215576172,207.94500732421832,-1.625,1,GF4T382otu,576,820.0,0,0,0,0,0,4235.142578125,0.363699853420258,0,4.4805383682251,1,0,788.0,0,76.5,0,34.8983383178711,0,1,0,0,49.700984954834,24.4332069826912,0,0,0,51.2623901367188,181.400287160059,0,90.5351104736328,0,0,11,-0.931453347206116,1273.03137207031,1754.0,0,0,0,0,2,0,0,9,0,0,200.0,0,1.92795598506928
8,12.60286627545188,41.60186682476825,1,41.60186682476825,133.737487792969,28.99900054931637,-1.75,1,GF4T1110otu,576,1227.0,0,0,20,0,0,3033.72900390625,0.179387271404266,0,4.39845705032349,1,0,-187.0,0,20.0,0,22.7933025360107,0,1,0,0,55.1559906005859,6.5,0,0,0,54.6760292053223,160.533227036148,0,54.8590240478516,0,0,11,-0.0110050141811371,705.897033691406,1945.0,0,0,0,0,2,0,0,9,0,0,193.709884643555,0,123.29859161377
9,-67.45238710458472,84.39661191885398,1,84.39661191885398,161.794479370117,151.8489990234387,-3.5625,1,GF4T801otu,608,638.0,0,0,0,0,0,6667.6025390625,0.349669277667999,0,5.12946319580078,1,0,1973.0,0,203.0,0,20.8949947357178,0,1,0,0,40.5583000183105,44.5492512243794,0,0,0,56.5976524353027,127.565655971174,0,105.159645080566,0,0,4,0.893089294433594,603.147705078125,2809.0,0,0,0,0,9,0,0,7,0,0,200.0,0,0.0
