,StDev_MAE,cName,Mean_MAE,Mean_R2,Mean_RMSE,StDev_RMSE,StDev_R2
0,13.155799796929822,Russula_rf_VPS2_LP7,21.756271340410255,-5.112327603550187,211.52276146295742,189.88502640682762,6.4228866484237646
1,13.122998890019765,Russula_rf_VPS2_LP6,21.643477665869078,-5.735713181865411,210.69634016948504,188.11400804486865,7.721165326622667
2,12.966642993335892,Russula_rf_VPS3_LP7,21.866587352361424,-6.4808690572637335,211.11105325109114,186.62738295604044,8.292078493352859
3,12.973638966720715,Russula_rf_VPS2_LP5,21.710617544801227,-6.8423727210970045,209.82839009722636,185.5409233773819,9.977428105326535
4,12.91388332146381,Russula_rf_VPS3_LP6,21.747385350510182,-7.2466493324638535,210.28656318672617,184.90663979856208,10.063435464747512
5,12.830017418032654,Russula_rf_VPS4_LP7,21.86529344224839,-7.866650174135654,211.09528415374345,184.532585829796,10.465529048780377
6,12.930073036650384,Russula_rf_VPS2_LP4,21.574230936289656,-8.392762572369389,209.07783810683557,183.01248163582002,13.35374671338545
7,12.737112995720198,Russula_rf_VPS4_LP6,21.766209340840437,-8.755828154438474,210.08663131165537,182.614919366381,12.588554435068067
8,12.77319803904547,Russula_rf_VPS3_LP5,21.77281969371311,-8.809756947925505,209.63196501715805,182.2641195989649,13.170379867502566
9,12.762260598988988,Russula_rf_VPS5_LP7,21.989234795390168,-8.944441560222248,211.43390850602708,182.83216855026285,11.634051726549465
