,StDev_MAE,cName,Mean_MAE,Mean_R2,Mean_RMSE,StDev_RMSE,StDev_R2
0,4.982349723052263,Reddellomyces_rf_VPS2_LP7,6.913882947506266,-29.30707660476831,87.41713704795144,80.11205303191548,58.8936697813898
1,4.990638664313821,Reddellomyces_rf_VPS2_LP6,6.91842825738878,-31.43519329124927,87.44746488698625,79.95110908865055,63.22746667709361
2,5.00859650032508,Reddellomyces_rf_VPS6_LP7,7.012907479931341,-31.484393997794648,87.70722493370232,79.80814965174801,63.822507935854986
3,4.988233034853008,Reddellomyces_rf_VPS3_LP7,6.967985778207395,-31.90768164589548,87.53856953858704,79.86159200625437,65.85686341305534
4,4.999415899768834,Reddellomyces_rf_VPS4_LP7,7.048053671160676,-32.11340333514987,87.613482910818,79.8815073694462,66.50777581694449
5,5.017941611868507,Reddellomyces_rf_VPS7_LP7,6.990268087945782,-32.559346245871836,87.67890054641025,79.68073959829933,65.86089864463545
6,5.021448555137518,Reddellomyces_rf_VPS7_LP6,7.023585269163554,-32.59291891708192,87.7618244749792,79.58210652016986,65.27099912866153
7,5.003031983068644,Reddellomyces_rf_VPS5_LP7,7.0223268476824074,-33.00146463220388,87.68463692728768,79.8167828281378,67.76236958201537
8,5.002239878401369,Reddellomyces_rf_VPS4_LP6,7.057574763170041,-33.021622118527496,87.63573963137245,79.72011442334616,68.52821828419383
9,5.018969415269394,Reddellomyces_rf_VPS4_LP5,7.084570372860251,-33.08686758802689,87.71880690189842,79.64098342106344,68.1686557728846
