,StDev_MAE,cName,Mean_MAE,Mean_R2,Mean_RMSE,StDev_RMSE,StDev_R2
0,4.902305167391423,Tomentella_rf_VPS2_LP7,14.059508356787404,-0.40332441946199327,103.73522260476844,79.30387090243003,1.1129023920212884
1,4.853198061614171,Tomentella_rf_VPS2_LP6,13.861462526727195,-0.45218808746659545,102.94204620842402,78.72257999898498,1.2347130917629348
2,4.866915479400904,Tomentella_rf_VPS2_LP4,13.390695682462425,-0.4532395364856683,100.95341029035326,77.586708089395,1.2552105014376695
3,4.864238378487498,Tomentella_rf_VPS2_LP5,13.620656922277849,-0.45977483254166024,102.02291345092239,78.23108748362203,1.2565020192233751
4,4.806872463967513,Tomentella_rf_VPS3_LP4,13.084850202048539,-0.527524573632987,100.00924701510087,76.99033489339541,1.3081361006121848
5,4.891252465653438,Tomentella_rf_VPS3_LP7,13.72224404776772,-0.5295311175851212,102.8668773808662,78.27754378094464,1.2999415787714108
6,4.837550370516942,Tomentella_rf_VPS3_LP5,13.356297775032164,-0.5366142402319304,101.00804893034154,77.3653984359797,1.3315407710259144
7,4.826938978237461,Tomentella_rf_VPS3_LP6,13.557299515903816,-0.5748037641760135,101.91944184689228,77.56281059833573,1.4065159696662155
8,4.878003618601473,Tomentella_rf_VPS4_LP7,13.661838111628615,-0.7090647016045423,102.3795520838504,77.54074217323416,1.674520360290562
9,4.889780106708113,Tomentella_rf_VPS5_LP7,13.573730202832497,-0.7436274310553719,102.5788959410086,77.39363238134982,1.6933454911647705
