,lower,mean,upper,latitude
0,,,,-60.0
0,,,,-59.9
0,,,,-59.8
0,,,,-59.7
0,,,,-59.6
0,,,,-59.5
0,,,,-59.4
0,,,,-59.3
0,,,,-59.2
0,,,,-59.1
0,,,,-59.0
0,,,,-58.9
0,,,,-58.8
0,,,,-58.7
0,,,,-58.6
0,,,,-58.5
0,,,,-58.4
0,,,,-58.3
0,,,,-58.2
0,,,,-58.1
0,,,,-58.0
0,,,,-57.9
0,,,,-57.8
0,,,,-57.7
0,,,,-57.6
0,,,,-57.5
0,,,,-57.4
0,,,,-57.3
0,,,,-57.2
0,,,,-57.1
0,,,,-57.0
0,,,,-56.9
0,,,,-56.8
0,,,,-56.7
0,,,,-56.6
0,,,,-56.5
0,,,,-56.4
0,,,,-56.3
0,,,,-56.2
0,,,,-56.1
0,,,,-56.0
0,0.1413012444972992,0.1488489080220461,0.16242259740829468,-55.9
0,0.13954901695251465,0.1509425247257406,0.16409143805503845,-55.8
0,0.1245964840054512,0.14540456545849642,0.1590987741947174,-55.7
0,0.1396004557609558,0.14911686815321445,0.16112734377384186,-55.6
0,0.14417001605033875,0.1553850531578064,0.168411985039711,-55.5
0,0.13345366716384888,0.1536819241940975,0.16296017169952393,-55.4
0,0.1313277631998062,0.15028241592826266,0.16926546394824982,-55.3
0,0.13259248435497284,0.14812895986768934,0.16892260313034058,-55.2
0,0.12424362450838089,0.14735361013342352,0.16411331295967102,-55.1
0,0.11646796017885208,0.1434279014838153,0.1614367961883545,-55.0
0,0.11884010583162308,0.14374603068744632,0.16726887226104736,-54.9
0,0.12186410650610924,0.14096989166855023,0.16802212595939636,-54.8
0,0.11688912659883499,0.14172800561707272,0.17162932455539703,-54.7
0,0.10153667628765106,0.13450817053134626,0.16341662406921387,-54.6
0,0.11151926219463348,0.1395957254092483,0.15795134007930756,-54.5
0,0.11627689749002457,0.13998995317240892,0.15956467390060425,-54.4
0,0.11382189393043518,0.14063541565475793,0.16575515270233154,-54.3
0,0.11786482483148575,0.14518840528196758,0.1696997582912445,-54.2
0,0.11129884421825409,0.14570112232909058,0.17306628823280334,-54.1
0,0.11851920187473297,0.14811126226859708,0.18719148635864258,-54.0
0,0.12297172099351883,0.15260168229197635,0.1979149729013443,-53.9
0,0.11351585015654564,0.150639590062201,0.19746355712413788,-53.8
0,0.11897997558116913,0.1563420043153278,0.21738778054714203,-53.7
0,0.11608695238828659,0.15526105780844335,0.22022290527820587,-53.6
0,0.12318690866231918,0.1579304477916314,0.21485178172588348,-53.5
0,0.12702174484729767,0.162677530871063,0.21701082587242126,-53.4
0,0.11840636283159256,0.16028827268722629,0.2304195910692215,-53.3
0,0.11779295653104782,0.15825717829700028,0.21215060353279114,-53.2
0,0.12590262293815613,0.16026220446632755,0.22116117179393768,-53.1
0,0.13056975603103638,0.16187558223803838,0.2039254605770111,-53.0
0,0.11510860174894333,0.16274614750392855,0.21640026569366455,-52.9
0,0.11017623543739319,0.16337845460810793,0.2208915501832962,-52.8
0,0.14038872718811035,0.17295618233632068,0.22293438017368317,-52.7
0,0.1319745033979416,0.1667022615671158,0.20376811921596527,-52.6
0,0.10957332700490952,0.15838574239258038,0.21791383624076843,-52.5
0,0.1078733280301094,0.15631521871456733,0.21943649649620056,-52.4
0,0.11556966106096904,0.15730100807643707,0.1964772492647171,-52.3
