,AMF_diversity,pred_climate_current,AbsResidual,latitude,longitude
1195,4.25,10.170088768005371,5.920088768005371,43.1375,120.4708333333333
1196,8.5,11.015998840332031,2.5159988403320312,43.204166666666666,120.5625
1197,11,21.595928192138672,10.595928192138672,44.0375,116.2208333333333
1198,58.16600036621094,34.54554748535156,23.620452880859375,44.1125,116.3125
1199,34.999000549316406,26.617267608642578,8.381732940673828,44.1875,116.45416666666665
1200,62.49599838256836,34.709228515625,27.78676986694336,44.270833333333336,116.57916666666665
1201,22.249000549316406,25.41742706298828,3.168426513671875,44.329166666666666,116.7208333333333
1202,65.39299774169922,34.44980239868164,30.943195343017578,44.395833333333336,116.86250000000001
1203,10.99899959564209,10.0553560256958,0.9436435699462891,44.4125,81.03750000000002
1204,62.11800003051758,30.235095977783203,31.882904052734375,49.270833333333336,119.17916666666667
1205,22.125,19.735830307006836,2.389169692993164,49.30416666666667,119.35416666666669
1206,43.33100128173828,20.787803649902344,22.543197631835938,49.329166666666666,119.00416666666666
1207,129.4969940185547,33.105098724365234,96.39189529418945,49.395833333333336,118.80416666666667
1208,75.33000183105469,35.433082580566406,39.89691925048828,49.454166666666666,118.62083333333334
1209,37.665000915527344,25.530323028564453,12.13467788696289,49.479166666666664,118.42083333333335
1210,0.03333333333333333,1.1100808382034302,1.0767475048700967,30.75416666666667,-84.00416666666666
1211,1,5.702674865722656,4.702674865722656,-41.804166666666674,-69.67916666666667
1212,1.6666666666666667,5.851522922515869,4.184856255849202,-41.25416666666666,-70.07916666666667
1213,4,8.13869857788086,4.138698577880859,-41.037499999999994,-70.52083333333333
1214,18,8.59705924987793,9.40294075012207,-35.954166666666666,145.74583333333334
1215,22.125,8.57193374633789,13.55306625366211,-35.954166666666666,145.87916666666666
1216,1,7.494041919708252,6.494041919708252,-35.9375,145.8875
1217,10,8.33238697052002,1.6676130294799805,-35.920833333333334,145.6875
1218,24.5,8.703875541687012,15.796124458312988,-35.8875,145.64583333333331
1219,44,9.86436939239502,34.13563060760498,-35.8625,145.60416666666669
