Mean_overallAccuracy_Random,Mean_overallAccuracy_Spatial,StDev_overallAccuracy_Spatial,cName,StDev_overallAccuracy_Random
0.974621845658399,0.9680228066690452,0.015079593433909945,ectomycorrhizal_richness_rf_VPS10_LP6CLASSIFICATION,0.003744451676058925
0.9745552677622606,0.9679675275092883,0.015084867849880968,ectomycorrhizal_richness_rf_VPS6_LP4CLASSIFICATION,0.003899262957903118
0.9745550028634696,0.9679020337221852,0.01528111225481333,ectomycorrhizal_richness_rf_VPS12_LP8CLASSIFICATION,0.003946436609459836
0.9744885120880283,0.9679020337221852,0.01528111225481333,ectomycorrhizal_richness_rf_VPS8_LP6CLASSIFICATION,0.00381082866052903
0.9744876260193385,0.9678467545624285,0.01528588038702655,ectomycorrhizal_richness_rf_VPS10_LP8CLASSIFICATION,0.0036619371602874605
0.9744207844134041,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS12_LP10CLASSIFICATION,0.0038091703533435326
0.9743553120589314,0.9679020337221852,0.01528111225481333,ectomycorrhizal_richness_rf_VPS12_LP6CLASSIFICATION,0.0038012599391105367
0.9741550893232092,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS6_LP6CLASSIFICATION,0.003557163382117739
0.974154558820403,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS8_LP8CLASSIFICATION,0.0039049501511125855
0.9741538911597919,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS4_LP2CLASSIFICATION,0.0037454737197871284
0.9739544235591626,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS10_LP10CLASSIFICATION,0.003691649217310146
0.9739542442382889,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS4_LP12CLASSIFICATION,0.0034821576315304196
0.9739542442382889,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS4_LP10CLASSIFICATION,0.0034821576315304196
0.9739542442382889,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS6_LP12CLASSIFICATION,0.0034821576315304196
0.9739538021522263,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS4_LP4CLASSIFICATION,0.003646725499791051
0.9738877106388213,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS4_LP8CLASSIFICATION,0.0035861599452236123
0.9738877106388213,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS8_LP12CLASSIFICATION,0.0035861599452236123
0.9738210439721545,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS12_LP12CLASSIFICATION,0.003514575067469457
0.9738210439721545,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS4_LP6CLASSIFICATION,0.003589647787497517
0.973820822488212,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS8_LP10CLASSIFICATION,0.0035784673448758433
0.973754377305488,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS10_LP12CLASSIFICATION,0.0035168703560112665
0.973754377305488,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS6_LP10CLASSIFICATION,0.0035168703560112665
0.973754377305488,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS6_LP8CLASSIFICATION,0.0035168703560112665
0.9736233940476595,0.9679020337221852,0.01528111225481333,ectomycorrhizal_richness_rf_VPS8_LP4CLASSIFICATION,0.004075882584182836
0.9731581888238088,0.9677812607753253,0.015488485892455835,ectomycorrhizal_richness_rf_VPS10_LP4CLASSIFICATION,0.0041216892655992505
0.9728237883307909,0.9680228066690452,0.015079593433909945,ectomycorrhizal_richness_rf_VPS12_LP4CLASSIFICATION,0.0037539641706573635
0.9712261764021459,0.9677812607753253,0.015488485892455835,ectomycorrhizal_richness_rf_VPS6_LP2CLASSIFICATION,0.0037788889737945014
0.9668959254504118,0.9679020337221852,0.01528111225481333,ectomycorrhizal_richness_rf_VPS8_LP2CLASSIFICATION,0.004560722564254617
0.9642308904107223,0.968057414467325,0.014768344669721156,ectomycorrhizal_richness_rf_VPS10_LP2CLASSIFICATION,0.005067072835897351
0.9634983056368345,0.9678975304560806,0.015614064707119138,ectomycorrhizal_richness_rf_VPS12_LP2CLASSIFICATION,0.004725736726723944
