StDev_MAE,cName,Mean_MAE,Mean_R2,Mean_RMSE,StDev_RMSE,StDev_R2
0.015941812206085846,ectomycorrhizal_richness_rf_VPS6_LP3_REGRESSION,0.6298274803903675,0.6015513758567442,0.8476182468649597,0.022121127327908705,0.018170585774125315
0.016142415043751367,ectomycorrhizal_richness_rf_VPS6_LP4_REGRESSION,0.6316057125811113,0.6008560926726676,0.8483569850331488,0.02245511095163011,0.01855450960224918
0.015548451227798282,ectomycorrhizal_richness_rf_VPS6_LP2_REGRESSION,0.6290514328871897,0.6004798002426266,0.8487451005015769,0.02143586814200127,0.01771585699331493
0.016206388267747063,ectomycorrhizal_richness_rf_VPS5_LP3_REGRESSION,0.6315529787280318,0.5997825144063488,0.849493793808137,0.02235741123556081,0.018521863348203507
0.016620979907879117,ectomycorrhizal_richness_rf_VPS7_LP5_REGRESSION,0.6333538021504667,0.5993932227045955,0.8499198306211844,0.022737782599204875,0.01870690635849325
0.015554234851017597,ectomycorrhizal_richness_rf_VPS5_LP2_REGRESSION,0.6302472526360734,0.5988814677084178,0.8504233776060323,0.021434077068287663,0.01809022672648594
0.016342850076739145,ectomycorrhizal_richness_rf_VPS5_LP4_REGRESSION,0.6342659025433335,0.5980880058075955,0.8512958427271088,0.02271577838262316,0.0188277440919278
0.016276826189471103,ectomycorrhizal_richness_rf_VPS6_LP5_REGRESSION,0.6351673576627748,0.5977645741102561,0.8516345294818279,0.02236929489232429,0.018563269825213
0.016002529265044682,ectomycorrhizal_richness_rf_VPS4_LP2_REGRESSION,0.6321390117310197,0.5976605879192654,0.8517368028380167,0.021919972527499568,0.018184340484249613
0.01647143005311377,ectomycorrhizal_richness_rf_VPS7_LP6_REGRESSION,0.635686173648684,0.597561459846825,0.8518447918917229,0.02258301597959991,0.018883030964652974
0.01639193275165054,ectomycorrhizal_richness_rf_VPS4_LP3_REGRESSION,0.6341827399426707,0.5975264304941426,0.8518921582505605,0.022407415254177103,0.01848310719633817
0.016746073447855305,ectomycorrhizal_richness_rf_VPS5_LP5_REGRESSION,0.6376568589045297,0.5950331937356537,0.8545366332480963,0.02296191036521091,0.018932248303914174
0.016409915811172182,ectomycorrhizal_richness_rf_VPS4_LP4_REGRESSION,0.6379342509691881,0.5945831984656004,0.8549994939007007,0.022377591147946612,0.01853523327849845
0.016553216632593345,ectomycorrhizal_richness_rf_VPS6_LP6_REGRESSION,0.6384766078594807,0.5945562183576925,0.855025882272929,0.022767125319627605,0.01899539638208226
0.016094540763801932,ectomycorrhizal_richness_rf_VPS3_LP2_REGRESSION,0.6355702606829514,0.5942135519609866,0.8553943261247591,0.022498644152948465,0.018530018009158003
0.016265285989623686,ectomycorrhizal_richness_rf_VPS7_LP7_REGRESSION,0.6395901900711294,0.5937180457111542,0.8559019740639457,0.022190200802029228,0.01856318889594247
0.016007496949975216,ectomycorrhizal_richness_rf_VPS3_LP3_REGRESSION,0.6388540024066482,0.5928988852383013,0.8567976396426936,0.02227100093153097,0.01795755891291154
0.016256478869245004,ectomycorrhizal_richness_rf_VPS5_LP6_REGRESSION,0.641790219276927,0.5911349852462369,0.8586225378172966,0.022426224309802786,0.018771537397692196
