,lower,mean,upper,latitude
0,,,,-60.0
0,,,,-59.9
0,,,,-59.8
0,,,,-59.7
0,,,,-59.6
0,,,,-59.5
0,,,,-59.4
0,,,,-59.3
0,,,,-59.2
0,,,,-59.1
0,,,,-59.0
0,,,,-58.9
0,,,,-58.8
0,,,,-58.7
0,,,,-58.6
0,,,,-58.5
0,,,,-58.4
0,,,,-58.3
0,,,,-58.2
0,,,,-58.1
0,,,,-58.0
0,,,,-57.9
0,,,,-57.8
0,,,,-57.7
0,,,,-57.6
0,,,,-57.5
0,,,,-57.4
0,,,,-57.3
0,,,,-57.2
0,,,,-57.1
0,,,,-57.0
0,,,,-56.9
0,,,,-56.8
0,,,,-56.7
0,,,,-56.6
0,,,,-56.5
0,,,,-56.4
0,,,,-56.3
0,,,,-56.2
0,,,,-56.1
0,,,,-56.0
0,0.17293673753738403,0.21205067448318005,0.22928215563297272,-55.9
0,0.2117123156785965,0.22538603164932944,0.2396930754184723,-55.8
0,0.20219135284423828,0.2335528458158175,0.2616507112979889,-55.7
0,0.22057455778121948,0.24235526099801064,0.25855588912963867,-55.6
0,0.147579163312912,0.1928209642569224,0.24363850057125092,-55.5
0,0.16852274537086487,0.19612001106142998,0.24834796786308289,-55.4
0,0.16052399575710297,0.21683672093080752,0.27918878197669983,-55.3
0,0.15104009211063385,0.20502841969331106,0.26984700560569763,-55.2
0,0.1716364324092865,0.2103879527718413,0.2782438397407532,-55.1
0,0.1774616837501526,0.22150866353306278,0.2847999334335327,-55.0
0,0.14560188353061676,0.2325603227380296,0.3302348256111145,-54.9
0,0.1461927890777588,0.21682071098626055,0.2811588943004608,-54.8
0,0.15729697048664093,0.22884514143592433,0.3260411322116852,-54.7
0,0.1485683023929596,0.23884348559838076,0.35990726947784424,-54.6
0,0.17030072212219238,0.22563640269286492,0.3284905254840851,-54.5
0,0.19066786766052246,0.23878783038107015,0.30463919043540955,-54.4
0,0.18635137379169464,0.24007151185952383,0.3181420862674713,-54.3
0,0.17535929381847382,0.22844369316266644,0.29242846369743347,-54.2
0,0.173258438706398,0.2273119870911945,0.30365896224975586,-54.1
0,0.1692362129688263,0.2251343542049008,0.30082204937934875,-54.0
0,0.16808120906352997,0.21693472050387283,0.28854280710220337,-53.9
0,0.16387487202882767,0.22091694052020708,0.3309319466352463,-53.8
0,0.1582479327917099,0.20655630453158233,0.30342644453048706,-53.7
0,0.15480059385299683,0.2071178102934802,0.30855920910835266,-53.6
0,0.16518710553646088,0.20567337452219084,0.2706120014190674,-53.5
0,0.16217225790023804,0.20229185995508414,0.286533385515213,-53.4
0,0.16099438071250916,0.2026061634879467,0.29153403639793396,-53.3
0,0.14086058735847473,0.19900943099388055,0.29449477791786194,-53.2
0,0.14671079814434052,0.18851654063309392,0.26675936579704285,-53.1
0,0.1466958224773407,0.18652008821566898,0.28118887543678284,-53.0
0,0.14563493430614471,0.19066429942373245,0.30858859419822693,-52.9
0,0.1399309535821279,0.19025269232758688,0.3291018605232239,-52.8
0,0.13595378398895264,0.17929727477686747,0.2445722371339798,-52.7
0,0.14118275046348572,0.18857604389389357,0.2551968991756439,-52.6
0,0.14449161291122437,0.20252714116694565,0.31087037920951843,-52.5
0,0.12922798097133636,0.20015190427119917,0.2995716631412506,-52.4
0,0.13112348318099976,0.19162748133943927,0.3131193220615387,-52.3
