Mean_R2,StDev_R2,Mean_RMSE,StDev_RMSE,Mean_MAE,StDev_MAE,cName
0.11444996031581582,0.03338112945858103,0.27252176707053816,0.014156288565694654,0.07426811352724863,0.0074910180313078325,ECM_diversity_rf_VPS6_LP5
0.1111150327530365,0.03681868446320325,0.2729309224219305,0.013378306096515118,0.07449128841408584,0.007099270233085632,ECM_diversity_rf_VPS7_LP5
0.10978888341518563,0.05068081064473244,0.27293089853948066,0.012442289639751976,0.07449127537756828,0.006682824447101274,ECM_diversity_rf_VPS7_LP4
0.10824103520740289,0.05026619840429408,0.27352709033687006,0.015669754353894946,0.07481706914815425,0.00814222500505706,ECM_diversity_rf_VPS5_LP5
0.10548836342945016,0.03991948035827768,0.27373123168924207,0.012967761842444407,0.07492878720210952,0.006869172710067288,ECM_diversity_rf_VPS4_LP4
0.10517587758641733,0.04545932122305514,0.27373543424103075,0.012987541347261973,0.07493108795912566,0.006959704979383488,ECM_diversity_rf_VPS5_LP4
0.10448161964845556,0.05102289538339013,0.27373387331725746,0.01231542288427273,0.07493023340126836,0.006554909966876304,ECM_diversity_rf_VPS6_LP4
0.10283682095120424,0.04095746727912403,0.27433235509350934,0.014900887588466003,0.0752582410511513,0.007842916298188988,ECM_diversity_rf_VPS4_LP5
0.0983060993232765,0.04015740835182513,0.275135445263117,0.015846417402397166,0.07569951324013366,0.008289061118387996,ECM_diversity_rf_VPS2_LP4
0.09816760300892162,0.04811768848643996,0.27474412799968806,0.012555862039447393,0.07548433587030898,0.006720692066597746,ECM_diversity_rf_VPS3_LP4
0.0977413969377818,0.046626090297768194,0.2751409326744621,0.01554391329070022,0.07570253283297287,0.008163084507903024,ECM_diversity_rf_VPS3_LP5
0.09476464337552655,0.04702863948593383,0.27514294325240435,0.011166840234379022,0.07570363922159581,0.00599374989112587,ECM_diversity_rf_VPS3_LP3
0.09466419143851526,0.035161136832299544,0.2753463085023012,0.01238052047943649,0.0758155896058444,0.0066613811248375085,ECM_diversity_rf_VPS2_LP2
0.09453824356827766,0.0545349645190944,0.27514399523360217,0.011632800712837985,0.0757042181131085,0.00630974683884017,ECM_diversity_rf_VPS6_LP3
0.08810055284420164,0.023888158724352175,0.2763429723439132,0.011755879737392647,0.07636543836386878,0.006299454925722729,ECM_diversity_rf_VPS2_LP3
0.08728375287054162,0.03836821648567958,0.2763440137316711,0.011216339767597066,0.07636601392533003,0.006065865422725064,ECM_diversity_rf_VPS4_LP3
0.08478921144624699,0.04600794239440024,0.27673959371353457,0.012117802312744877,0.07658480272873217,0.0066037054184737995,ECM_diversity_rf_VPS7_LP3
0.08155611581708987,0.051276705798335334,0.27713815518634155,0.01161537813599015,0.07680555706008872,0.006415396742120142,ECM_diversity_rf_VPS5_LP3
0.07673650142321906,0.046796299753525165,0.27852906933357047,0.01739160671364178,0.07757844246382489,0.00929414747621705,ECM_diversity_rf_VPS2_LP5
0.047192922089356173,0.05292056187872557,0.2822667294911323,0.011686955662640094,0.07967450657762006,0.006514788422933208,ECM_diversity_rf_VPS3_LP2
0.047150131406291027,0.0641379998087541,0.28226907522220324,0.01277455260635879,0.07967583082679783,0.007221390791804054,ECM_diversity_rf_VPS5_LP2
0.043270866155201135,0.07141399029216945,0.28265855542917584,0.011664845452000746,0.07989585895730847,0.006601157310721074,ECM_diversity_rf_VPS4_LP2
0.03842931290889624,0.06695702001154985,0.28363801902028624,0.013957001142459548,0.08045052583375223,0.007926417513012622,ECM_diversity_rf_VPS6_LP2
0.03601437636574469,0.06403743064545545,0.28402477347975486,0.013959659032049536,0.08067007195022606,0.007963762066709143,ECM_diversity_rf_VPS7_LP2
