foldID,Kolmogorov-Smirnov statistic,Wasserstein distance
foldID_800km_Hexagon,0.045859060402684566,61.15197305906211
foldID_900km_Hexagon,0.12224899328859061,68.62419309285373
foldID_700km_Hexagon,0.08536644295302014,81.20106813250942
foldID_600km_Hexagon,0.14441409395973154,86.92065968353887
foldID_1500km_Hexagon,0.15753087248322148,105.99500144512311
foldID_1000km_Hexagon,0.1601208053691275,107.67324930990705
foldID_500km_Hexagon,0.22208389261744965,111.56770033116678
foldID_1200km_Hexagon,0.1467973154362416,123.22379506824505
foldID_400km_Hexagon,0.22154429530201342,145.28263942419863
foldID_1300km_Hexagon,0.18366442953020135,158.185592482859
foldID_1100km_Hexagon,0.19921342281879195,165.50127240806876
foldID_300km_Hexagon,0.2695006711409396,172.04687603634622
foldID_1900km_Hexagon,0.17386644295302014,187.8938578388506
foldID_200km_Hexagon,0.34725637583892616,193.6481874743903
foldID_1400km_Hexagon,0.22630268456375838,209.6422524441531
foldID_100km_Hexagon,0.41151409395973154,226.7540359379599
foldID_1600km_Hexagon,0.2458221476510067,238.37072649070177
foldID_1800km_Hexagon,0.2993677852348993,298.16868729034763
sample-to-sample,0.5570409395973155,299.7962714546009
foldID_2000km_Hexagon,0.3646234899328859,348.609467413754
