,StDev_MAE,cName,Mean_MAE,Mean_R2,Mean_RMSE,StDev_RMSE,StDev_R2
0,0.03485307020042308,Septoglomus_rf_VPS4_LP4,0.17623407950325684,0.2605063648963637,0.6411692151458479,0.187738397108852,0.16004059592071476
1,0.034199802409656525,Septoglomus_rf_VPS6_LP4,0.1734271733249117,0.26018041248752766,0.6383944497538049,0.18375702011957423,0.17147397454908536
2,0.034004283814876225,Septoglomus_rf_VPS7_LP4,0.17229867476543922,0.25988158703966985,0.6369662132518451,0.18191968680000506,0.18005790793743742
3,0.033588779858027835,Septoglomus_rf_VPS7_LP6,0.1738683318202876,0.25902426260840306,0.638640204682136,0.18300872335807405,0.16988585507609133
4,0.03407423608855906,Septoglomus_rf_VPS5_LP4,0.17477216102593218,0.25843572973192874,0.6411121912798661,0.18586956810314195,0.1578276815193014
5,0.03401346060624991,Septoglomus_rf_VPS6_LP6,0.17489695942763103,0.2580023966362884,0.639801614634178,0.18398179104501433,0.1663835291955485
6,0.03411743116578799,Septoglomus_rf_VPS6_LP5,0.17412283912695087,0.25750368204713414,0.6396033119708281,0.18366541137479042,0.16840052232737684
7,0.03409806424187829,Septoglomus_rf_VPS6_LP7,0.17664238991155773,0.2561258290979295,0.6422044140610693,0.18638102769530387,0.1597119068680985
8,0.033995403229370974,Septoglomus_rf_VPS5_LP5,0.17554864746952575,0.25608024527537443,0.6418576743851856,0.18536654115343737,0.15732232217089176
9,0.03409797978698781,Septoglomus_rf_VPS7_LP7,0.17508382059408828,0.25593811285972745,0.641416921668054,0.18569073807642078,0.16715504949908938
