,StDev_MAE,cName,Mean_MAE,Mean_R2,Mean_RMSE,StDev_RMSE,StDev_R2
0,16.102770382853993,Tricholoma_rf_VPS2_LP7,27.741821391131555,-282.41606138109944,302.3504235171759,231.68619176061335,557.8099234444155
1,16.133720334411198,Tricholoma_rf_VPS2_LP6,27.549346281850035,-318.94151570467824,302.4933382122175,230.39885836499866,632.0612148145246
2,16.153361075320937,Tricholoma_rf_VPS2_LP5,27.404509638387776,-357.42771509719114,302.52377327859193,229.22773142870645,714.0199846951504
3,15.998949297789787,Tricholoma_rf_VPS3_LP7,27.513744989065145,-359.0023144379468,301.9669872429865,227.96070208176442,698.245827164183
4,16.246476430257704,Tricholoma_rf_VPS2_LP4,27.290719865088693,-390.10799806473125,303.3712845475965,228.0719557880471,768.5827260018876
5,15.90179247599586,Tricholoma_rf_VPS4_LP7,27.290331407973195,-396.88229440712655,301.7568703737258,225.81245542867123,771.181320303287
6,16.035370084612104,Tricholoma_rf_VPS3_LP6,27.40440726219854,-413.26587009687034,302.76023253786343,226.69037456710907,809.031900954983
7,15.995872820384216,Tricholoma_rf_VPS5_LP7,27.261016286249106,-427.4602057530783,302.9615639652652,225.57470899914503,830.8743108971868
8,16.106386378809056,Tricholoma_rf_VPS6_LP7,27.117458651011127,-444.878091237167,303.0012369856909,225.51730011133662,865.0409336434453
9,15.896162972274551,Tricholoma_rf_VPS4_LP6,27.077129566980574,-448.75929297280175,302.42837331086855,224.57096389167597,868.8437740857131
