StDev_MAE,cName,Mean_MAE,Mean_R2,Mean_RMSE,StDev_RMSE,StDev_R2
0.006886282430001779,ectomycorrhizal_richness_rf_VPS7_LP2_REGRESSION,0.6327295408569152,0.6254598692903055,0.8766629842861194,0.008346661697107446,0.014127821624929357
0.007014562288555832,ectomycorrhizal_richness_rf_VPS7_LP3_REGRESSION,0.6341345107852528,0.6247065927265313,0.8776064581741073,0.009240086600086515,0.013110663161420079
0.007212711307640058,ectomycorrhizal_richness_rf_VPS6_LP2_REGRESSION,0.6347578827877391,0.623133400054118,0.8794005530009764,0.008372274889124207,0.01377126588199404
0.007506645873207082,ectomycorrhizal_richness_rf_VPS6_LP3_REGRESSION,0.6365041432093101,0.6225585772745807,0.8800865869404911,0.008824865408955999,0.013635879069823774
0.007449879945205527,ectomycorrhizal_richness_rf_VPS7_LP4_REGRESSION,0.6369962720078252,0.6222614390850326,0.8804830021515029,0.010079543749266893,0.01305166819454623
0.006919472923318747,ectomycorrhizal_richness_rf_VPS5_LP2_REGRESSION,0.6368881778433362,0.6216635194000162,0.8811230823322008,0.008211605471663634,0.013527879394821777
0.007173893918019334,ectomycorrhizal_richness_rf_VPS5_LP3_REGRESSION,0.6386235250418133,0.6208955319625702,0.8820232752229785,0.00882332363971295,0.013669022839880456
0.007704313198434397,ectomycorrhizal_richness_rf_VPS6_LP4_REGRESSION,0.6390226097900331,0.620555476854898,0.8824840013604858,0.010004804560415408,0.012665482312220177
0.006885456135328392,ectomycorrhizal_richness_rf_VPS7_LP5_REGRESSION,0.639600078346301,0.6199841972247725,0.8831167197528019,0.008945979288175532,0.012924628433903662
0.007198305331964883,ectomycorrhizal_richness_rf_VPS4_LP2_REGRESSION,0.639285080438656,0.6194310449231084,0.8837438854520094,0.008850336598899987,0.013267506109730482
0.007293854694091348,ectomycorrhizal_richness_rf_VPS5_LP4_REGRESSION,0.6419079229554845,0.6177624749858558,0.885725383379579,0.010228505966036474,0.0129000619920443
0.007613050291370294,ectomycorrhizal_richness_rf_VPS4_LP3_REGRESSION,0.6421561297985625,0.6171392789642752,0.8864208985440145,0.009770688621946098,0.013311736646365578
0.00746307935670298,ectomycorrhizal_richness_rf_VPS6_LP5_REGRESSION,0.6429706919505226,0.6164566696167583,0.8872460431056071,0.01071946820810793,0.012982983246550084
0.00717493036732814,ectomycorrhizal_richness_rf_VPS7_LP6_REGRESSION,0.6437396743253399,0.6157043873292822,0.8881319256419564,0.010418351160237866,0.012401927681476228
0.007912978899173917,ectomycorrhizal_richness_rf_VPS3_LP2_REGRESSION,0.6437220061135898,0.6149334691239484,0.8889165067315035,0.009563307625154649,0.014560047678500587
0.007612792722981256,ectomycorrhizal_richness_rf_VPS5_LP5_REGRESSION,0.6462689771877768,0.6138499661977249,0.8902578010517695,0.010829234280216553,0.013074212520557139
0.007450417549596345,ectomycorrhizal_richness_rf_VPS4_LP4_REGRESSION,0.6463440412444018,0.6137073332124785,0.8903960176708536,0.009963995800843024,0.01323511214052728
0.007636170805993102,ectomycorrhizal_richness_rf_VPS6_LP6_REGRESSION,0.6468904893632237,0.6125880563879691,0.891724116047145,0.010793791946565833,0.012725472803825475
0.0074376639363601385,ectomycorrhizal_richness_rf_VPS7_LP7_REGRESSION,0.6473665857225879,0.6118447411399173,0.8925848470028787,0.01122555352961236,0.012890770958603722
0.007929865754682406,ectomycorrhizal_richness_rf_VPS3_LP3_REGRESSION,0.6484275644485165,0.6112694165532624,0.8931904781211897,0.010809524922118844,0.014050368012668644
0.007580764829353565,ectomycorrhizal_richness_rf_VPS5_LP6_REGRESSION,0.6512059952756964,0.6087038252938607,0.896216908923101,0.011726640061281367,0.012538379980995901
0.008426062794403956,ectomycorrhizal_richness_rf_VPS4_LP5_REGRESSION,0.6518035078160868,0.6081286838503572,0.8968467014741259,0.011581305341885569,0.013214927967300625
0.008011163451626413,ectomycorrhizal_richness_rf_VPS6_LP7_REGRESSION,0.6514989644410735,0.6080132354415957,0.8970097763775963,0.011837210042130954,0.012568213321326198
0.008120521926151602,ectomycorrhizal_richness_rf_VPS2_LP2_REGRESSION,0.6537218817819235,0.6062927724952898,0.8989097600792221,0.011097243518700034,0.013854310293357831
0.008001410420365809,ectomycorrhizal_richness_rf_VPS3_LP4_REGRESSION,0.6540754178039674,0.6059627312256037,0.8993250523618607,0.011660395868107723,0.013241075969716075
0.008181351614371663,ectomycorrhizal_richness_rf_VPS5_LP7_REGRESSION,0.6551884830792561,0.6041989542859946,0.9013884293465071,0.012602312035980964,0.012512063201699602
0.008368449024479759,ectomycorrhizal_richness_rf_VPS4_LP6_REGRESSION,0.6571462265140037,0.6029568983632426,0.9027879967002482,0.012433482024319919,0.012784139106456302
0.00902831385554642,ectomycorrhizal_richness_rf_VPS3_LP5_REGRESSION,0.659738356782672,0.5999880020650589,0.9061884704580502,0.013404324322517378,0.012726886040177968
0.008664445298332596,ectomycorrhizal_richness_rf_VPS2_LP3_REGRESSION,0.6611889981569825,0.5993047795889459,0.9069192470541856,0.012574772819891734,0.013284926627102664
0.009270987831224873,ectomycorrhizal_richness_rf_VPS4_LP7_REGRESSION,0.6617695782945986,0.597988319291183,0.9084291382141446,0.013367861370408442,0.01329618346967042
0.009361497633156798,ectomycorrhizal_richness_rf_VPS3_LP6_REGRESSION,0.6658283100366913,0.5940194300831431,0.9129453732213954,0.014348244066065014,0.013027323410760672
0.009274777844966732,ectomycorrhizal_richness_rf_VPS2_LP4_REGRESSION,0.6695277738036823,0.5906740576473567,0.9166743509872674,0.013851047188824085,0.013350848781158848
0.009420505407023357,ectomycorrhizal_richness_rf_VPS3_LP7_REGRESSION,0.6716884398715741,0.5873529848531286,0.9204157940927535,0.015086978588237996,0.013620993789307496
0.009816551508025042,ectomycorrhizal_richness_rf_VPS2_LP5_REGRESSION,0.677620676980375,0.5822669127644099,0.9260630866664005,0.014695433226817394,0.01357864460267576
0.010635915545875254,ectomycorrhizal_richness_rf_VPS2_LP6_REGRESSION,0.6853122916229811,0.5741342466239729,0.9350950541907057,0.01694985002211882,0.014113463170121219
0.01090652863617579,ectomycorrhizal_richness_rf_VPS2_LP7_REGRESSION,0.6914996288062103,0.5672428673199419,0.94266802761097,0.01763429840808653,0.013844967223602818
