sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Shrubs,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,GlobPermafrost_PermafrostExtent,MODIS_NPP,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,target_marker,sequencing_platform,sample_type,primers,Resolve_Biome,ECM_diversity,Pixel_Lat,Pixel_Long,source,CV_Fold
FMS00382v3,1265.0,122.599914550781,722.547668457031,278.633117675781,27.3966503143311,94.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1125.0,2980.0,2402.0,-0.337785571813583,0.768099546432495,660.5,5.97899436950684,3.1875,0.0,8.99340534210205,29.2295112609863,0.0,6487.2001953125,1.0,200.0,44.1056365966797,22.3294143676758,68.1024475097656,0,1,2,10,4,1.3862943611198906,41.0125007629395,21.3374996185303,GlobalFungi,8
FMS02389v3,513.0,-4.48325777053833,767.734252929688,164.500259399414,32.0,0.0,0.0,0.0,0.0,53.0,0.0,47.0,0.0,434.0,3519.0,4875.0,0.944891452789307,-0.321519285440445,313.0,3.29707765579224,-2.0,0.0,0.0,78.7637329101563,0.000655104697216302,3781.51635742188,1.0,172.53092956543,58.8130989074707,123.901069641113,48.9859046936035,0,0,2,11,6,4.477802619226725,67.7624969482422,29.5874996185303,GlobalFungi,7
FMS25011v2,621.0,39.5,827.72705078125,192.5,31.5016765594482,0.0,19.0,0.0,0.0,45.0,0.0,36.0,0.0,424.0,1660.0,4498.0,-0.228825360536575,-0.740532159805298,360.0,0.233127355575562,0.0625,0.0,0.0,36.1304893493652,0.0,5837.03173828125,50.0,200.0,59.2335090637207,200.708358764648,45.9751281738281,0,3,2,13,6,2.3936133976106273,60.9375,14.0708332061768,GlobalFungi,8
N7902,914.0,101.466255187988,1158.83068847656,245.466262817383,30.1033191680908,29.0,5.0,51.0,0.0,0.0,0.0,15.0,0.0,341.0,192.0,2962.0,-0.537079811096191,-0.598375856876373,405.5,3.93172025680542,-1.6875,0.0,0.0,78.5688858032227,0.0,7016.1376953125,1.0,200.0,35.9279365539551,36.7238082885742,58.7455406188965,0,1,1,11,5,4.213534033875442,46.3291664123535,15.2041664123535,GlobalFungi,6
FMS24979v2,624.0,41.4662399291992,869.964599609375,195.416564941406,28.7033233642578,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,380.0,3006.0,4971.0,-0.606914341449738,-0.794309794902802,336.5,2.0444188117981,-0.875,0.0,0.0,101.82559967041,0.0,5629.7998046875,1.0,200.0,57.0068702697754,116.196044921875,46.6640090942383,0,3,2,13,6,2.889649247599494,60.6791648864746,13.8458337783813,GlobalFungi,9
FMS25099v2,589.0,29.4497585296631,732.268493652344,182.433303833008,37.0,0.0,0.0,5.0,0.0,57.0,0.0,39.0,0.0,764.0,4704.0,2558.0,-0.886684238910675,-0.461787790060043,331.0,5.83600616455078,-2.625,0.0,0.0,101.185775756836,0.0,4796.60009765625,1.0,199.987228393555,54.1450881958008,99.6796798706055,47.5372276306152,0,3,2,13,6,2.302285022037318,63.3125,15.6875,GlobalFungi,10
FMS25056v2,635.0,35.5164604187012,883.6005859375,185.516738891602,32.4033508300781,0.0,0.0,0.0,0.0,53.0,0.0,47.0,0.0,628.0,2687.0,3311.0,-0.928477048873901,0.0766964703798294,425.0,0.717742145061493,1.75,0.0,0.0,77.3571548461914,0.0,5354.21240234375,1.0,198.399536132813,56.4367942810059,131.628311157227,46.4126281738281,0,3,2,13,6,3.9507821070456375,60.9458351135254,14.2124996185303,GlobalFungi,1
S006926,1166.0,154.483184814453,1444.36218261719,308.483184814453,38.9933013916016,94.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2564.0,2879.0,1989.0,-0.631681978702545,-0.645393013954163,73.5,2.39527177810669,-0.375,0.0,492.208129882813,27.2305774688721,0.0,7668.2001953125,13.0,200.0,30.8376846313477,26.0235576629639,59.0597267150879,0,0,1,7,4,0.0,35.0208320617676,135.787506103516,GlobalFungi,9
FMS10980v2,735.0,60.5,698.843627929688,212.5,33.7016754150391,0.0,0.0,11.0,0.0,0.0,0.0,89.0,0.0,1295.0,5426.0,1749.0,0.575825333595276,0.713452756404877,51.0,1.26439571380615,-0.125,0.0,0.0129370987415314,119.986312866211,0.0,5114.90673828125,1.0,199.90055847168,60.817554473877,124.142082214355,51.7917213439942,0,0,2,9,4,1.0986122886681098,58.2458343505859,27.3125,GlobalFungi,10
N1683,743.0,82.4832382202149,717.769104003906,198.483261108398,22.598352432251,5.0,0.0,2.0,0.0,37.0,0.0,56.0,0.0,789.0,171.0,2838.0,0.851331412792206,-0.188943326473236,59.0,0.750095367431641,-2.0,0.0,0.0,130.295288085938,0.0,8110.369140625,30.0,200.0,71.4778594970703,115.648208618164,44.6985664367676,0,1,2,11,4,3.5263605246161616,55.9874992370606,12.2958335876465,GlobalFungi,1
FMS10999v2,733.0,57.5167655944824,698.603271484375,215.51676940918,32.5016441345215,0.0,0.0,0.0,0.0,24.0,0.0,76.0,0.0,803.0,3465.0,3282.0,-0.649235367774963,-0.316227912902832,81.0,0.5678631067276,1.125,0.0,0.0,97.0746688842774,0.0,6186.57666015625,40.0,200.0,69.8524856567383,130.886352539063,48.7056465148926,0,0,2,9,4,4.237203109326551,58.1124992370606,27.029167175293,GlobalFungi,2
S001751,753.0,67.5,644.278686523438,204.466781616211,28.8066711425781,51.0,8.0,9.0,0.0,22.0,10.0,1.0,0.0,850.0,293.0,1795.0,-0.894427478313446,-0.393918663263321,7.0,0.276708990335465,0.1875,0.0,44.1043205261231,6.86719989776611,0.0,5574.42333984375,50.0,199.089096069336,56.9237594604492,60.2239112854004,62.055290222168,1,0,2,5,4,2.3016847053142957,58.8291664123535,22.7708339691162,GlobalFungi,3
S006953,1164.0,154.482620239258,1452.92578125,308.482604980469,38.6949462890625,99.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2608.0,2817.0,1781.0,0.373956918716431,-0.837834417819977,74.5,1.35402178764343,-0.375,0.0,489.457366943359,30.3928890228272,0.0,8675.2001953125,16.0,200.0,30.83078956604,26.2919807434082,59.2201042175293,0,0,1,7,4,1.9434785954571587,35.029167175293,135.787506103516,GlobalFungi,4
