sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,MODIS_NPP,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,sequencing_platform454Roche,sequencing_platformIllumina,sample_typerhizosphere_soil,sample_typesoil,sample_typetopsoil,primersAML1_AML2_then_AMV4_5NF_AMDGR,primersAML1_AML2_then_NS31_AM1,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,primersAMV4_5F_AMDGR,primersAMV4_5NF_AMDGR,primersGeoA2_AML2_then_NS31_AMDGR,primersGeoA2_NS4_then_NS31_AML2,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,primersNS1_NS4_then_AML1_AML2,primersNS1_NS4_then_AMV4_5NF_AMDGR,primersNS1_NS4_then_NS31_AM1,primersNS1_NS41_then_AML1_AML2,primersNS31_AM1,primersNS31_AML2,primersWANDA_AML2,amf_sampling_density,Resolve_Biome,we,CV_Fold_Random,Pixel_Long,Pixel_Lat,CV_Fold_Spatial
S1421,1730.0,253.500279412133,1405.64978027344,313.5,50.1966590881348,0,919.0,4875.0,2313.0,0.0884755700826645,0.993517160415649,12.0,0.654718041419983,0.3125,0.0,0.0063379555940628,110.244270324707,14385.3837890625,67.8614273071289,43.4897880554199,60.241870880127,72.9452896118164,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0585042797029018,1,1.4011014570768499e-13,7,-87.2041702270508,21.2124996185303,2
S7339,1021.99993896484,-1.38251976126154,1379.70458984375,187.634178896739,22.5966567993164,0,1769.0,1322.0,2437.0,0.534149944782257,0.770572900772095,2094.5,18.3628196716309,-15.4375,0.0,0.0,1.08088886737823,1275.16369628906,82.6640853881836,48.9281578063965,121.654556274414,57.464786529541,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.36523112654686,5,3.95239396766548e-14,6,-113.345832824707,48.4625015258789,3
S972,1536.0,254.466816868015,1379.47058105469,322.5,48.4000015258789,100,253.0,596.0,4011.0,-0.39832991361618,-0.780692458152771,227.0,2.06622362136841,0.0,0.0,0.0572565644979477,46.3664016723633,8002.75927734375,200.0,58.144660949707,22.4793014526367,57.8705902099609,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780786424875259,1,5.86797277433659e-12,8,-5.85416650772095,6.16249990463257,6
S3242,1267.0,131.616273625113,3438.279296875,183.566476069557,24.1966648101807,0,261.0,3851.0,6205.0,0.399324119091034,0.916768729686737,1745.0,5.11938190460205,0.375,0.0,0.0,18.6503105163574,7168.3720703125,195.909118652344,49.1069450378418,194.359100341797,50.2971229553223,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,2.00284233642358e-13,9,-155.3125,19.8291664123535,1
S6431,943.0,9.54960873042029,572.216430664063,193.51645630021,55.6050415039063,0,632.0,1315.0,3503.0,-0.0820862129330635,-0.153641790151596,1332.0,1.61435079574585,0.8125,0.0,0.0,116.264533996582,4506.87890625,200.0,44.6226654052734,171.257385253906,54.175422668457,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.912875831127167,5,2.3314683517128e-14,7,-118.612503051758,53.8708343505859,9
S904,1552.0,256.483287194,1404.96899414063,321.483287194,47.1016426086426,100,581.0,1947.0,2739.0,0.567206859588623,0.28515499830246,219.5,1.74550032615662,2.1875,0.0,0.526814222335815,71.3000869750977,7988.701171875,200.0,59.2372703552246,22.2740230560303,55.3039970397949,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782348737120628,1,4.59121629602433e-12,10,-6.50416660308838,6.12916660308838,6
S3588,1271.0,183.5,1647.80053710938,336.5,47.5016441345215,100,820.0,2297.0,2749.0,0.6725914478302,0.740010619163513,59.0,0.51373815536499,-0.75,0.0,10.866870880127,2.17315554618835,4952.607421875,200.0,30.6798858642578,12.464373588562,58.2354621887207,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.109364666044712,1,2.96651592179798e-13,1,119.620834350586,29.0208339691162,4
S890,1563.0,254.532902553919,1303.1259765625,318.5,48.0,100,488.0,2914.0,2944.0,0.416377067565918,0.014054149389267,137.5,1.10584080219269,0.125,0.0,0.0,119.937599182129,8227.193359375,200.0,66.6730575561524,21.7730350494385,54.1269912719727,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0783500671386719,1,5.56221735335657e-12,2,-6.65416669845581,5.59583330154419,6
S6443,953.0,31.4668070727706,529.833129882813,217.467086493539,49.1983222961426,0,598.0,3200.0,4121.0,-0.909162640571594,0.416431128978729,803.0,2.48828196525574,-0.5625,0.0,0.0,100.697776794434,4758.341796875,199.75,47.8494911193848,185.059112548828,57.0868225097656,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.84877210855484,6,3.0198066269803804e-14,4,-119.679168701172,54.8125,7
S1544,1747.0,168.516722254,924.84130859375,284.516722254,72.2983551025391,100,1123.0,2322.0,1402.0,-0.401817262172699,0.900305330753326,467.0,0.455626428127289,0.1875,0.0,4.50047636032105,0.337066680192947,3423.9111328125,200.0,48.9526863098145,14.619704246521,65.5662460327149,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0474255196750164,8,1.48103751484985e-13,4,-64.1875,-31.5625,4
