CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_of_Coldest_Quarter,CHELSA_BIO_Precipitation_Seasonality,CGIAR_Aridity_Index,CGIAR_PET,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,FanEtAl_Depth_to_Water_Table_AnnualMean,GlobPermafrost_PermafrostExtent,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,target_marker,sequencing_platform,sample_type,primers,Resolve_Biome,Archaeospora,Pixel_Lat,Pixel_Long,CV_Fold
44.549251556396484,603.147705078125,127.56565856933594,133.36672973632812,20.894994735717773,7918.0,608.0,0.8930892944335938,0.34966927766799927,203.0,5.129463195800781,-3.5625,0.0,17.794118881225586,0.0,5.0,200.0,40.55830001831055,161.7944793701172,56.597652435302734,1.0,0.0,2.0,10.0,4,0.0,-54.48749923706055,-67.4375,1
45.53200912475586,602.54150390625,128.54844665527344,134.0675506591797,20.594995498657227,7713.0,611.0,0.890562891960144,0.3484887182712555,175.5,5.002474784851074,-5.8125,0.0,2.7283501625061035,0.0,2.0,199.606689453125,41.294437408447266,171.6554412841797,55.65310287475586,1.0,0.0,2.0,10.0,4,0.0,-54.47916793823242,-67.44583129882812,2
48.49972152709961,552.08203125,132.4994354248047,124.55254364013672,20.298330307006836,7543.0,617.0,0.9876596927642822,-0.12195339053869247,141.0,2.9551584720611572,-0.75,0.0,24.84886360168457,0.0,2.0,195.46580505371094,39.3765754699707,157.94776916503906,58.34046936035156,1.0,0.0,2.0,10.0,4,0.0,-54.462501525878906,-67.52083587646484,3
77.39930725097656,1627.80615234375,170.36578369140625,342.53118896484375,13.898359298706055,14320.0,1038.0,-0.9103291034698486,-0.3193265199661255,459.0,5.811208724975586,-5.75,0.0,3.8271477222442627,0.0,3.0,164.2820587158203,45.49932098388672,121.84970092773438,58.3765869140625,1.0,0.0,2.0,10.0,4,0.0,-45.60416793823242,168.07916259765625,4
52.4830322265625,1453.3016357421875,150.48330688476562,557.6466064453125,38.39997482299805,7735.0,1013.0,-0.986140251159668,-0.0312647670507431,941.5,1.104710340499878,-0.0625,0.0,5.684341886080802e-14,0.0,20.0,161.483642578125,53.860145568847656,153.51846313476562,52.94847106933594,1.0,0.0,2.0,10.0,4,0.0,-44.837501525878906,-71.72916412353516,5
51.4501838684082,1535.0516357421875,149.48330688476562,589.0499267578125,38.39999771118164,7664.0,1017.0,-0.8597018718719482,0.020814575254917145,952.0,0.8831614851951599,-0.625,0.0,5.684341886080802e-14,0.0,3.0,169.11276245117188,51.03610610961914,149.2823486328125,57.08060836791992,1.0,0.0,2.0,10.0,4,0.0,-44.829166412353516,-71.72916412353516,6
92.38297271728516,4657.97900390625,163.38328552246094,1540.9091796875,26.591615676879883,36315.0,731.0,-0.026447337120771408,0.2039628028869629,215.5,6.796455383300781,-1.6875,0.0,5.684341886080802e-14,0.0,1.0,87.54084777832031,48.094329833984375,208.1951446533203,50.19902038574219,1.0,0.0,2.0,10.0,4,0.0,-44.07083511352539,-73.09583282470703,7
110.45045471191406,4342.08056640625,182.4339141845703,967.119873046875,15.198330879211426,37289.0,1085.0001220703125,0.825774610042572,-0.5639972686767578,96.5,7.019954204559326,-2.5,0.0,50.49897003173828,0.0,1.0,54.7879638671875,47.68202209472656,202.25938415527344,49.716426849365234,1.0,0.0,2.0,10.0,4,0.0,-43.76250076293945,169.3874969482422,8
91.38155364990234,1171.791748046875,170.41477966308594,330.6784973144531,24.801668167114258,17346.0,948.9999389648438,0.3069077730178833,-0.9514230489730835,462.5,12.575825691223145,-1.9375,0.0,81.20845794677734,0.0,1.0,0.49999985098838806,48.75940704345703,189.6823272705078,48.76192092895508,2.0,1.0,2.0,5.0,4,0.0,-43.212501525878906,146.71249389648438,9
101.43424224853516,1250.921142578125,178.46719360351562,347.2774963378906,23.294952392578125,14887.0,989.9998779296875,0.3956579267978668,0.8639606237411499,309.0,5.934781074523926,-9.9375,0.0,0.6258556246757507,0.0,1.0,0.4265199303627014,48.005340576171875,125.01774597167969,52.18061447143555,1.0,0.0,2.0,10.0,4,0.0,-43.17916488647461,146.78750610351562,10
66.7144546508789,1213.4595947265625,167.68121337890625,345.14910888671875,10.101683616638184,12416.0,1142.0,0.8017779588699341,-0.5681324601173401,978.5,9.980695724487305,7.5625,0.0,14.241842269897461,0.0,1.0,82.97531127929688,54.441768646240234,133.46224975585938,50.076499938964844,1.0,0.0,2.0,10.0,8,0.0,-43.17916488647461,172.22084045410156,1
99.54936218261719,1254.678466796875,177.5493621826172,348.39263916015625,23.49663543701172,15197.0,988.9999389648438,0.1556321084499359,0.9070178270339966,370.0,7.1401166915893555,-0.8125,0.0,22.163328170776367,0.0,1.0,4.173559665679932,45.734779357910156,144.44871520996094,51.25504684448242,1.0,0.0,2.0,10.0,4,0.0,-43.170833587646484,146.77915954589844,1
100.63308715820312,1113.8211669921875,177.63308715820312,308.10302734375,22.698305130004883,14744.0,987.9998779296875,0.9780365228652954,0.050116151571273804,317.0,7.449303150177002,7.125,0.0,115.95243072509766,0.0,1.0,9.04139232635498,48.42982864379883,117.2684326171875,51.47248840332031,2.0,1.0,2.0,5.0,4,0.0,-43.170833587646484,146.80416870117188,2
