CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_of_Coldest_Quarter,CHELSA_BIO_Precipitation_Seasonality,CGIAR_Aridity_Index,CGIAR_PET,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,FanEtAl_Depth_to_Water_Table_AnnualMean,GlobPermafrost_PermafrostExtent,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,Resolve_Biome,richness,Pixel_Lat,Pixel_Long,CV_Fold
22.38492774963379,1515.023193359375,98.35173034667969,334.2205810546875,20.303367614746094,16427.0,441.9998779296875,0.7283568382263184,-0.6846331357955933,415.0,12.017068862915039,-6.0625,0.0,173.86492919921875,0.0,0.0,115.55805969238281,56.46772003173828,166.78271484375,57.743804931640625,4,1180.0,-54.98749923706055,-67.67916870117188,1
38.34782028198242,1107.2490234375,122.31389617919922,275.826416015625,13.101644515991211,9436.0,570.0001831054688,-0.7546566724777222,-0.446449339389801,147.5,3.8662145137786865,-7.1875,0.0,1.6926907300949097,0.0,2.0,177.79225158691406,52.097076416015625,221.4033203125,53.619239807128906,4,891.0,-54.8125,-68.47916412353516,2
18.299701690673828,1249.822998046875,97.23300170898438,314.3904113769531,13.801671981811523,12808.0,456.00006103515625,-0.9708896279335022,0.23855477571487427,530.5,15.263843536376953,-12.5,0.0,9.735366821289062,0.0,1.0,139.85496520996094,51.537654876708984,177.30706787109375,54.96555709838867,4,789.0,-54.795833587646484,-68.37916564941406,3
34.41630172729492,948.0357055664062,117.39962005615234,232.1721954345703,14.398359298706055,10247.0,527.9999389648438,-0.9810916185379028,-0.09696705639362335,271.0,2.8320863246917725,-4.25,0.0,3.8817451000213623,0.0,1.0,188.247802734375,52.98007583618164,181.0336456298828,53.20390701293945,4,1647.0,-54.712501525878906,-68.12083435058594,4
24.08252716064453,1019.2394409179688,103.9986801147461,249.3247833251953,14.201671600341797,12829.0,451.0000305175781,-0.5124595165252686,-0.8223800659179688,438.5,10.746330261230469,-17.3125,0.0,4.6769514083862305,0.0,1.0,84.75902557373047,56.010459899902344,187.06710815429688,56.25531768798828,4,788.0,-54.6875,-68.12916564941406,5
44.549251556396484,603.147705078125,127.56565856933594,133.36672973632812,20.894994735717773,7918.0,608.0,0.8930892944335938,0.34966927766799927,203.0,5.129463195800781,-3.5625,0.0,17.794118881225586,0.0,5.0,200.0,40.55830001831055,161.7944793701172,56.597652435302734,4,1261.0,-54.48749923706055,-67.4375,6
45.53200912475586,602.54150390625,128.54844665527344,134.0675506591797,20.594995498657227,7713.0,611.0,0.890562891960144,0.3484887182712555,175.5,5.002474784851074,-5.8125,0.0,2.7283501625061035,0.0,2.0,199.606689453125,41.294437408447266,171.6554412841797,55.65310287475586,4,1194.5,-54.47916793823242,-67.44583129882812,7
42.63298416137695,621.3801879882812,124.69923400878906,139.49078369140625,20.49666404724121,7606.0,608.0,0.9831953048706055,0.14184466004371643,208.0,8.64716911315918,-0.4375,0.0,93.6595458984375,0.0,2.0,188.75582885742188,39.36952209472656,159.164306640625,56.146873474121094,4,657.0,-54.47083282470703,-67.52083587646484,8
48.49972152709961,552.08203125,132.4994354248047,124.55254364013672,20.298330307006836,7543.0,617.0,0.9876596927642822,-0.12195339053869247,141.0,2.9551584720611572,-0.75,0.0,24.84886360168457,0.0,2.0,195.46580505371094,39.3765754699707,157.94776916503906,58.34046936035156,4,540.0,-54.462501525878906,-67.52083587646484,9
-3.517221689224243,2601.322265625,37.48283004760742,642.0087890625,9.003314018249512,27744.0,552.9999389648438,0.9369661211967468,-0.2612664997577667,93.0,8.748712539672852,-7.3125,0.0,0.8512826561927795,0.0,1.0,113.75635528564453,52.20166015625,165.38720703125,56.058677673339844,11,497.0,-54.26250076293945,-36.49583435058594,1
60.55012130737305,757.8177490234375,122.53343963623047,164.53651428222656,15.101668357849121,11956.0,686.0,0.5906230211257935,0.8064298033714294,33.0,1.9098286628723145,-0.625,0.0,34.320457458496094,0.0,1.0,168.1807403564453,41.920928955078125,184.1887664794922,52.04401779174805,4,972.0,-53.6875,-70.97916412353516,10
57.4341926574707,1315.7030029296875,138.43446350097656,372.271484375,21.911691665649414,5892.0,1027.9998779296875,-0.657024621963501,0.7466481924057007,246.5,7.477774620056152,-3.0625,0.0,5.684341886080802e-14,0.0,2.0,189.5324249267578,46.1973762512207,132.37274169921875,60.86249542236328,4,906.0,-50.454166412353516,-72.77916717529297,1
41.68455123901367,1531.093994140625,117.7012710571289,457.64874267578125,22.803342819213867,6959.0,1145.0,-0.19383618235588074,0.9810069799423218,640.5,18.64101791381836,7.375,0.0,2.3125827312469482,0.0,1.0,118.37269592285156,53.14411926269531,79.40522766113281,64.76589965820312,4,1179.0,-49.37916564941406,-72.87916564941406,2
31.382719039916992,1992.8726806640625,110.38299560546875,586.91552734375,20.605016708374023,8319.0,1060.0,0.5464707016944885,-0.8374780416488647,678.0,14.750080108642578,-1.625,0.0,0.5754572749137878,0.0,1.0,154.01393127441406,52.89249801635742,118.17282104492188,62.35758972167969,4,1232.0,-49.26250076293945,-72.94583129882812,3
