CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_of_Coldest_Quarter,CHELSA_BIO_Precipitation_Seasonality,CGIAR_Aridity_Index,CGIAR_PET,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,FanEtAl_Depth_to_Water_Table_AnnualMean,GlobPermafrost_PermafrostExtent,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,Resolve_Biome,myco_diversity,Pixel_Lat,Pixel_Long,CV_Fold
22.3849277496338,1515.02319335938,98.3517303466797,334.220581054688,20.3033676147461,16427.0,441.999877929687,0.728356838226318,-0.684633135795593,415.0,12.017068862915,-6.0625,0.0,173.864929199219,0.0,0.0,115.558059692383,56.4677200317383,166.78271484375,57.7438049316406,4,1215.15405273438,-54.9874992370606,-67.6791687011719,1
38.3478202819824,1107.2490234375,122.313896179199,275.826416015625,13.1016445159912,9436.0,570.000183105469,-0.754656672477722,-0.446449339389801,147.5,3.86621451377869,-7.1875,0.0,1.69269073009491,0.0,2.0,177.792251586914,52.0970764160156,221.4033203125,53.6192398071289,4,990.142028808594,-54.8125,-68.4791641235352,2
18.2997016906738,1249.82299804688,97.2330017089844,314.390411376953,13.8016719818115,12808.0,456.000061035156,-0.970889627933502,0.238554775714874,530.5,15.263843536377,-12.5,0.0,9.73536682128906,0.0,1.0,139.854965209961,51.537654876709,177.307067871094,54.9655570983887,4,1441.67700195313,-54.7958335876465,-68.3791656494141,3
34.4163017272949,948.035705566406,117.399620056152,232.17219543457,14.3983592987061,10247.0,527.999938964844,-0.981091618537903,-0.0969670563936234,271.0,2.83208632469177,-4.25,0.0,3.88174510002136,0.0,1.0,188.247802734375,52.9800758361817,181.033645629883,53.2039070129395,4,2149.18408203125,-54.7125015258789,-68.1208343505859,4
24.0825271606445,1019.23944091797,103.998680114746,249.324783325195,14.2016716003418,12829.0,451.000030517578,-0.512459516525269,-0.822380065917969,438.5,10.7463302612305,-17.3125,0.0,4.67695140838623,0.0,1.0,84.7590255737305,56.0104598999024,187.067108154297,56.2553176879883,4,800.034973144531,-54.6875,-68.1291656494141,5
44.5492515563965,603.147705078125,127.565658569336,133.366729736328,20.8949947357178,7918.0,608.0,0.893089294433594,0.349669277667999,203.0,5.12946319580078,-3.5625,0.0,17.7941188812256,0.0,5.0,200.0,40.5583000183105,161.794479370117,56.5976524353027,4,266.486999511719,-54.4874992370606,-67.4375,6
44.54925155639648,603.147705078125,127.56565856933594,133.36672973632812,20.894994735717773,7918.0,608.0,0.8930892944335938,0.3496692776679992,203.0,5.129463195800781,-3.5625,0.0,17.794118881225586,0.0,5.0,200.0,40.55830001831055,161.7944793701172,56.597652435302734,4,153.36199951171875,-54.48749923706055,-67.4375,7
45.53200912475586,602.54150390625,128.54844665527344,134.0675506591797,20.594995498657227,7713.0,611.0,0.890562891960144,0.3484887182712555,175.5,5.002474784851074,-5.8125,0.0,2.7283501625061035,0.0,2.0,199.606689453125,41.29443740844727,171.6554412841797,55.65310287475586,4,139.82350158691406,-54.47916793823242,-67.44583129882812,8
45.5320091247559,602.54150390625,128.548446655273,134.06755065918,20.5949954986572,7713.0,611.0,0.890562891960144,0.348488718271256,175.5,5.00247478485107,-5.8125,0.0,2.7283501625061,0.0,2.0,199.606689453125,41.2944374084473,171.65544128418,55.6531028747559,4,270.1609954833985,-54.4791679382324,-67.4458312988281,9
42.632984161377,621.380187988281,124.699234008789,139.490783691406,20.4966640472412,7606.0,608.0,0.983195304870605,0.141844660043716,208.0,8.64716911315918,-0.4375,0.0,93.6595458984375,0.0,2.0,188.755828857422,39.3695220947266,159.164306640625,56.1468734741211,4,117.193000793457,-54.470832824707,-67.5208358764649,10
48.49972152709961,552.08203125,132.4994354248047,124.55254364013672,20.29833030700684,7543.0,617.0,0.9876596927642822,-0.1219533905386924,141.0,2.955158472061157,-0.75,0.0,24.84886360168457,0.0,2.0,195.4658050537109,39.3765754699707,157.94776916503906,58.34046936035156,4,99.65499877929688,-54.462501525878906,-67.52083587646484,1
48.4997215270996,552.08203125,132.499435424805,124.552543640137,20.2983303070068,7543.0,617.0,0.987659692764282,-0.121953390538692,141.0,2.95515847206116,-0.75,0.0,24.8488636016846,0.0,2.0,195.465805053711,39.3765754699707,157.947769165039,58.3404693603516,4,106.986000061035,-54.4625015258789,-67.5208358764649,2
-3.51722168922424,2601.322265625,37.4828300476074,642.0087890625,9.00331401824951,27744.0,552.999938964844,0.936966121196747,-0.261266499757767,93.0,8.74871253967285,-7.3125,0.0,0.85128265619278,0.0,1.0,113.756355285645,52.20166015625,165.38720703125,56.0586776733399,11,14.996000289917,-54.2625007629395,-36.4958343505859,1
60.5501213073731,757.817749023438,122.53343963623,164.536514282227,15.1016683578491,11956.0,686.0,0.590623021125794,0.806429803371429,33.0,1.90982866287231,-0.625,0.0,34.3204574584961,0.0,1.0,168.180740356445,41.9209289550781,184.188766479492,52.0440177917481,4,447.859008789063,-53.6875,-70.9791641235352,3
