sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Shrubs,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,GlobPermafrost_PermafrostExtent,MODIS_NPP,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,Resolve_Biome,ECM_diversity,Pixel_Lat,Pixel_Long,CV_Fold
S1054,1681.0,263.53351058800035,1212.841552734375,359.5502245179996,79.60334014892578,20.0,0.0,0.0,0.0,0.0,0.0,42.0,38.0,221.0,840.0,5455.0,0.21550777554512024,0.9746712446212769,341.5,3.0109364986419678,2.75,0.8229948878288269,0.0,25.38648796081543,0.0,4648.30810546875,1.0,200.0,77.14218139648438,11.879968643188477,61.02373504638672,7,6.210993602804705,8.470833778381348,4.645833492279053,9
S1155,712.0,69.46655716400164,1248.48046875,205.41661112861254,13.60167407989502,26.0,1.0,28.0,0.0,16.0,1.0,27.0,0.0,1269.0,4903.0,1560.0,-0.9298274517059326,0.3679923713207245,655.0,2.944563388824463,-3.0625,0.0,28.804384231567383,71.7059555053711,0.0,7618.52880859375,1.0,200.0,49.20793151855469,55.030189514160156,52.31803512573242,4,2.950944119487785,49.99583435058594,11.845833778381348,3
G4741,685.0,57.5,781.0234985351562,211.5,28.399999618530273,44.0,0.0,6.0,0.0,0.0,40.0,10.0,0.0,330.0,2142.0,3994.0,-0.4038621187210083,-0.7298412322998047,77.0,0.36327263712882996,-0.125,0.0,0.04763181880116463,31.406578063964844,0.0,4763.36474609375,50.0,200.0,49.41371154785156,51.959754943847656,61.69784164428711,4,4.2360611457399875,58.045833587646484,25.387500762939453,4
IH.A93,722.0,56.5,733.5514526367188,210.51645758111914,35.900001525878906,0.0,0.0,0.0,0.0,53.0,0.0,45.0,0.0,899.0,4190.0,3707.0,0.30580657720565796,0.09137869626283646,49.0,0.4939922094345093,-0.375,0.0,0.0,112.8871078491211,0.0,4692.54736328125,50.0,200.0,66.68655395507812,152.1077880859375,48.25338363647461,4,0.0,59.07083511352539,27.4375,5
G4051,1630.9998779296875,151.46853178613597,802.7603759765625,290.434774214403,70.18660736083984,40.0,0.0,6.0,34.0,0.0,0.0,13.0,6.0,987.0,3334.0,2675.0,0.7462238669395447,0.6456671953201294,889.0,11.70756721496582,-19.25,0.0,0.0,20.770488739013672,0.0,6601.96533203125,1.0,185.92117309570312,42.809391021728516,33.487483978271484,64.32251739501953,5,2.7724637234876686,35.12083435058594,-4.995833396911621,7
S178,1760.9998779296875,208.56636608073393,1482.6541748046875,274.5660851091046,90.49995422363281,0.0,0.0,0.0,52.0,0.0,0.0,48.0,0.0,174.0,464.0,6544.0,0.577272891998291,0.7360090613365173,667.5,3.6663661003112793,-0.625,1.144490361213684,0.0,55.27555465698242,0.0,10592.58203125,1.0,129.09719848632812,59.786373138427734,25.112497329711914,55.58265686035156,1,5.216168720050931,-17.02083396911621,145.57916259765625,9
S976,849.0,88.50002574399969,629.7613525390625,235.5000257439997,36.09165573120117,70.0,27.0,0.0,0.0,0.0,0.0,2.0,0.0,725.0,3249.0,3131.0,-0.6137431859970093,0.7889065146446228,250.0,2.2539801597595215,0.4375,0.0,16.942073822021484,16.886754989624023,0.0,6229.625,1.0,200.0,31.90594482421875,24.782421112060547,67.0344009399414,4,2.6389858696079167,50.5625,14.195833206176758,6
S1080,1679.0,182.4994639848229,291.47991943359375,312.49971975641216,43.998355865478516,30.0,27.0,0.0,0.0,0.0,0.0,0.0,44.0,805.0,2375.0,4208.0,0.4352221190929413,0.8347838521003723,144.5,2.494556427001953,1.5,0.0,56.387977600097656,0.0,0.0,3490.800048828125,7.0,200.0,39.40725326538086,15.864812850952148,80.7611083984375,12,5.311519852717301,38.295833587646484,-0.7208333611488342,3
Camila36,1340.0,263.46683121696464,2454.81787109375,310.4668312169647,37.096656799316406,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,554.0,3427.0,4003.0,0.012190575711429119,-0.9861440062522888,33.0,2.356818199157715,-1.75,0.0,0.0,225.17422485351562,0.0,8755.9609375,6.0,199.39309692382812,49.531864166259766,54.474693298339844,40.9892463684082,1,2.6740796536423805,-2.570833444595337,-60.32083511352539,10
G4063,1328.0,109.7836883883322,562.3383178710938,266.7836883883322,20.105018615722656,22.0,0.0,0.0,0.0,0.0,27.0,15.0,36.0,3215.0,2747.0,2665.0,0.9759992361068726,0.2039964646100998,884.0,21.79138946533203,-12.6875,0.0,0.0,0.3868444561958313,0.0,3060.26025390625,0.0,191.3666229248047,38.108760833740234,34.558197021484375,74.09968566894531,4,2.7725261950126256,40.67916488647461,41.34583282470703,7
