sample_id,latitude,longitude,myco_diversity,est_s_e,x95_percent_lower,x95_percent_upper,raw_obs_div,sample_type,sequencing_platform,target_marker,primers,top,bot,core_length,seq_depth
S001470,57.1484,-3.7813,0,0,0,0,0,root,454Roche,ITS2,fITS7/ITS4,0,10,10,6073
S001471,57.1484,-3.7813,0,0,0,0,0,root,454Roche,ITS2,fITS7/ITS4,0,10,10,4132
S001472,57.1484,-3.7813,0,0,0,0,0,root,454Roche,ITS2,fITS7/ITS4,0,10,10,2933
S001499,69.06667,27.03333,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,1381
S001500,69.06667,27.03333,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,1600
S001501,69.06667,27.03333,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,976
S001502,69.06667,27.03333,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,1138
S001503,69.06667,27.03333,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,1140
S001504,69.06667,27.03333,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,1145
S001505,69.06667,27.03333,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,1135
S001506,69.06667,27.03333,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,1072
S001507,69.06667,27.03333,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,1270
S001508,70,27.4,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,1326
S001509,70,27.4,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,1363
S001510,70,27.4,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,1159
S001511,70,27.4,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,1012
S001512,70,27.4,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,944
S001513,70,27.4,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,1009
S001514,70,27.4,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,1347
S001515,70,27.4,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,1080
S001516,70,27.4,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,927
S001517,69.1,27.03333,0,0,0,0,0,root,454Roche,ITS2,58A2F/ITS4,0,5,5,1050
