,StDev_MAE,cName,Mean_MAE,Mean_R2,Mean_RMSE,StDev_RMSE,StDev_R2
0,0.013727798380084325,Scutellospora_rf_VPS2_LP7,0.06405777846666502,0.2097324090548948,0.2886989188806265,0.1276595955366176,0.3371492311283909
1,0.013613456857837488,Scutellospora_rf_VPS2_LP6,0.0636795135532433,0.2030698548329414,0.2879696419032049,0.12657756758205949,0.3650252815219686
2,0.01383285232477461,Scutellospora_rf_VPS2_LP5,0.06337169853285687,0.19107365011284339,0.28736792023954516,0.12544782931760634,0.41208239498078436
3,0.013822779498995165,Scutellospora_rf_VPS3_LP7,0.06297021056792498,0.1857413436343356,0.2874550003707339,0.12477900677103552,0.4219102768965254
4,0.013794812745736417,Scutellospora_rf_VPS2_LP4,0.06305574841424699,0.1787120316679601,0.2862330089085683,0.12416041713843458,0.469794710732561
5,0.013767605226182348,Scutellospora_rf_VPS3_LP6,0.06275051868223953,0.17325161786303872,0.28707029093987707,0.12334245564803674,0.45318553911451365
6,0.013991493543570382,Scutellospora_rf_VPS4_LP7,0.062408250808837065,0.1684566330645832,0.2875654843719564,0.12393961107733,0.4673371296707293
7,0.01392489506514783,Scutellospora_rf_VPS3_LP5,0.06253589108084465,0.1544360428245548,0.28615061682004633,0.12111204164650019,0.5169189035151645
8,0.014018334554403527,Scutellospora_rf_VPS5_LP7,0.062405899702982784,0.1531581497016073,0.28810680394882593,0.1228923903497233,0.49257042247284066
9,0.013846782713629241,Scutellospora_rf_VPS4_LP6,0.06255161996086783,0.14749972381264348,0.2876655524044683,0.12227125121692956,0.5178010480682317
