Mean_R2_Random,Mean_R2_Spatial,Mean_MAE_Random,StDev_R2_Spatial,Mean_MAE_Spatial,Mean_RMSE_Spatial,StDev_MAE_Spatial,StDev_RMSE_Random,Mean_RMSE_Random,cName,StDev_R2_Random,StDev_MAE_Random,StDev_RMSE_Spatial
0.6105762959358307,0.20078986202621324,0.6231272114276004,0.09160804990682019,0.9222816912839964,1.1552517979208994,0.07431147873203063,0.020473325221700676,0.8380147359554095,ectomycorrhizal_richness_rf_VPS12_LP4_REGRESSION,0.015273055361606905,0.016679315849212485,0.0745724085949183
0.6093927208443244,0.19273829121298486,0.6251010057549347,0.09624754073710091,0.9284065172850887,1.1618503932703577,0.08178319933506475,0.020152135320619675,0.8392758435597485,ectomycorrhizal_richness_rf_VPS10_LP4_REGRESSION,0.015203406408595724,0.01647367738329008,0.08358049494393001
0.6084382775455838,0.19045486075713,0.622097107941648,0.0952838677721916,0.9292401277756449,1.1631710565366251,0.07808797796399128,0.019589074262935206,0.8402638052652049,ectomycorrhizal_richness_rf_VPS10_LP2_REGRESSION,0.015435291963026239,0.01570915455763503,0.0815347714790402
0.6084277361851507,0.20053622311855995,0.6217655163059117,0.0976092401593366,0.9216589569151392,1.1546139549205676,0.07368978097337249,0.01979848295512694,0.8402586536998055,ectomycorrhizal_richness_rf_VPS12_LP2_REGRESSION,0.01603313228006223,0.016021301293824702,0.07315307787684207
0.6078863795268048,0.19838771494774715,0.623069417373367,0.09954137644952832,0.9237810471129105,1.1565870823117983,0.07659319519048118,0.019181528260410207,0.8408802695158526,ectomycorrhizal_richness_rf_VPS8_LP2_REGRESSION,0.01440516135291392,0.015559612547965779,0.07875288522859351
0.6078090227252965,0.19680346318469438,0.6266701751917894,0.09472418444861155,0.9247819305748237,1.158535653347668,0.07649253912229424,0.020455656789516004,0.8410045690325773,ectomycorrhizal_richness_rf_VPS8_LP4_REGRESSION,0.01487064326096986,0.01658894930120929,0.08013194625870035
0.6068527588051245,0.19525800424690817,0.6254059989444855,0.09891578364004262,0.9274655765665368,1.1601797147647597,0.08022677471503253,0.020176283168441514,0.8419794333033127,ectomycorrhizal_richness_rf_VPS6_LP2_REGRESSION,0.015721917081206644,0.016135919620855026,0.08664200734451707
0.6064473057605786,0.19683975070013376,0.6286084048518696,0.0969251339940279,0.9239760341432129,1.157965593663606,0.07464369787499386,0.019635491167149598,0.8424344546826065,ectomycorrhizal_richness_rf_VPS12_LP6_REGRESSION,0.014658028354923532,0.016366018014202594,0.07690151863573669
0.6039496319188622,0.19168530941430628,0.6308217629143444,0.09776525338703747,0.9283882058790281,1.1622809104342262,0.07887323155351993,0.020216425661444055,0.8450955325085577,ectomycorrhizal_richness_rf_VPS10_LP6_REGRESSION,0.01553949839553174,0.016710506357917376,0.08189886347187265
0.6019999018715786,0.17920742263462835,0.6324130235947324,0.10122260348412344,0.939827487040905,1.1709595759284492,0.07715113172678231,0.01975133519432285,0.8471795451988642,ectomycorrhizal_richness_rf_VPS6_LP4_REGRESSION,0.01486366107591084,0.015954639105627368,0.08256280455869816
