Mean_overallAccuracy_Random,Mean_overallAccuracy_Spatial,StDev_overallAccuracy_Spatial,cName,StDev_overallAccuracy_Random
0.9757214653531598,0.9735456997884346,0.013776201433699793,ectomycorrhizal_richness_rf_VPS12_LP8CLASSIFICATION,0.0026422742259924405
0.9755238415766622,0.9735456997884346,0.013776201433699793,ectomycorrhizal_richness_rf_VPS12_LP10CLASSIFICATION,0.002795189829734214
0.9755233999315631,0.9734714055833826,0.013823568691301233,ectomycorrhizal_richness_rf_VPS10_LP8CLASSIFICATION,0.0026855590328330728
0.9752589785518179,0.9734714055833826,0.013823568691301233,ectomycorrhizal_richness_rf_VPS8_LP6CLASSIFICATION,0.002637660627263541
0.9751914421550534,0.9735456997884346,0.013776201433699793,ectomycorrhizal_richness_rf_VPS10_LP6CLASSIFICATION,0.0019504925314405882
0.975191269558883,0.973602196963576,0.013674513729187598,ectomycorrhizal_richness_rf_VPS12_LP6CLASSIFICATION,0.002082592762301465
0.9751276678912516,0.9734714055833826,0.013823568691301233,ectomycorrhizal_richness_rf_VPS8_LP8CLASSIFICATION,0.0030153142365446483
0.9749958291974385,0.9734714055833826,0.013823568691301233,ectomycorrhizal_richness_rf_VPS10_LP10CLASSIFICATION,0.003077211077945891
0.9749956087191254,0.9734714055833826,0.013823568691301233,ectomycorrhizal_richness_rf_VPS8_LP10CLASSIFICATION,0.003007714464678078
0.9749295589276071,0.9735456997884346,0.013776201433699793,ectomycorrhizal_richness_rf_VPS6_LP6CLASSIFICATION,0.0029865154509950346
0.9748635969094362,0.9734714055833826,0.013823568691301233,ectomycorrhizal_richness_rf_VPS12_LP12CLASSIFICATION,0.003108697522959676
0.9748635528476829,0.9734714055833826,0.013823568691301233,ectomycorrhizal_richness_rf_VPS4_LP2CLASSIFICATION,0.003123865691366354
0.9747308815154344,0.9734714055833826,0.013823568691301233,ectomycorrhizal_richness_rf_VPS6_LP8CLASSIFICATION,0.0031376889329974757
0.9747286932527176,0.9735456997884346,0.013776201433699793,ectomycorrhizal_richness_rf_VPS6_LP4CLASSIFICATION,0.0027056283137746563
0.9746653580187001,0.9734714055833826,0.013823568691301233,ectomycorrhizal_richness_rf_VPS6_LP10CLASSIFICATION,0.003300211254103346
0.9746651403182611,0.9734714055833826,0.013823568691301233,ectomycorrhizal_richness_rf_VPS4_LP12CLASSIFICATION,0.0031952168115143005
0.9746651403182611,0.9734714055833826,0.013823568691301233,ectomycorrhizal_richness_rf_VPS4_LP10CLASSIFICATION,0.0031952168115143005
0.9746651403182611,0.9734714055833826,0.013823568691301233,ectomycorrhizal_richness_rf_VPS4_LP8CLASSIFICATION,0.0031952168115143005
0.9746651403182611,0.9734714055833826,0.013823568691301233,ectomycorrhizal_richness_rf_VPS6_LP12CLASSIFICATION,0.0031952168115143005
0.9746648317239162,0.9734714055833826,0.013823568691301233,ectomycorrhizal_richness_rf_VPS10_LP12CLASSIFICATION,0.003069753751886024
0.9745990010180364,0.9734714055833826,0.013823568691301233,ectomycorrhizal_richness_rf_VPS8_LP12CLASSIFICATION,0.003209170894401867
0.9745329071647649,0.9734714055833826,0.013823568691301233,ectomycorrhizal_richness_rf_VPS4_LP4CLASSIFICATION,0.003209419832522275
0.9745329071647649,0.9734714055833826,0.013823568691301233,ectomycorrhizal_richness_rf_VPS4_LP6CLASSIFICATION,0.003209419832522275
0.9741995915050264,0.9735843999336652,0.013622866634588867,ectomycorrhizal_richness_rf_VPS8_LP4CLASSIFICATION,0.0022893063726483974
0.9738023237730303,0.9736586941387172,0.013574180648267752,ectomycorrhizal_richness_rf_VPS10_LP4CLASSIFICATION,0.0021993821246828263
0.9732068178431422,0.9735051596511617,0.013778673375100596,ectomycorrhizal_richness_rf_VPS12_LP4CLASSIFICATION,0.002055117892407374
0.9719508918719836,0.9735843999336652,0.013622866634588867,ectomycorrhizal_richness_rf_VPS6_LP2CLASSIFICATION,0.0026510504694276476
0.9693708035924462,0.9730275190005393,0.014442866160077955,ectomycorrhizal_richness_rf_VPS8_LP2CLASSIFICATION,0.002455419815479517
0.9676502923980411,0.9731985399781449,0.014085533062598202,ectomycorrhizal_richness_rf_VPS10_LP2CLASSIFICATION,0.002567479278155802
0.9671196969317963,0.9727580905043649,0.014451588189184475,ectomycorrhizal_richness_rf_VPS12_LP2CLASSIFICATION,0.0020429821629529064
