,AbsResidual,AMF_diversity,AMF_diversity_Predicted,Pixel_Long,Pixel_Lat
43,0.17792248725891113,1,1.1779224872589111,47.920833333333334,-18.9125
44,1.2875280380249023,0,1.2875280380249023,145.5875,-17.029166666666665
45,1.1871311664581299,0,1.1871311664581299,145.60416666666666,-17.029166666666665
46,0.699246883392334,0.5,1.199246883392334,145.5875,-17.020833333333332
47,1.130399465560913,0,1.130399465560913,145.59583333333333,-17.020833333333332
48,1.2270842790603638,0,1.2270842790603638,145.57916666666665,-17.0125
49,0.01917564868927002,1,0.98082435131073,147.35416666666666,-9.4375
50,1.3237268924713135,3.5,2.1762731075286865,147.37083333333334,-9.420833333333333
51,1.7132443189620972,0,1.7132443189620972,147.37916666666666,-9.420833333333333
52,0.7575916647911072,0,0.7575916647911072,147.10416666666666,-7.304166666666666
53,0.9966579079627991,0,0.9966579079627991,147.12083333333334,-7.304166666666666
54,0.7629544734954834,0,0.7629544734954834,147.12916666666666,-7.304166666666666
55,1.4768195152282715,0,1.4768195152282715,146.80416666666667,-6.7124999999999995
56,0.10772252082824707,1,0.8922774791717529,146.8875,-6.654166666666667
57,0.508167564868927,0,0.508167564868927,146.9125,-6.6375
58,0.5781891345977783,0,0.5781891345977783,145.24583333333334,-6.379166666666666
59,0.855143129825592,0,0.855143129825592,145.25416666666666,-6.379166666666666
60,0.4206671416759491,0,0.4206671416759491,145.27916666666667,-6.3625
61,0.015424877405166626,0.5,0.4845751225948334,145.27916666666667,-6.354166666666667
62,0.6903948783874512,0,0.6903948783874512,145.32083333333333,-6.204166666666667
63,0.40328648686408997,0,0.40328648686408997,145.32083333333333,-6.195833333333333
64,0.5785708427429199,0,0.5785708427429199,145.34583333333333,-6.195833333333333
65,0.556053876876831,0,0.556053876876831,145.2375,-6.054166666666666
66,0.3117198348045349,1,0.6882801651954651,145.4125,-6.020833333333333
67,1.933854341506958,3,1.066145658493042,144.9875,-6.0125
68,0.3278692364692688,0.5,0.8278692364692688,145.4125,-6.0125
