Mean_R2_Random,Mean_R2_Spatial,Mean_MAE_Random,StDev_R2_Spatial,Mean_MAE_Spatial,Mean_RMSE_Spatial,StDev_RMSE_Random,StDev_MAE_Spatial,Mean_RMSE_Random,cName,StDev_R2_Random,StDev_MAE_Random,StDev_RMSE_Spatial
0.622350259,0.121814524,0.647891552,0.122943767,1.065007733,1.304197373,0.02572239376604557,0.138792566,0.879375687,ectomycorrhizal_richness_rf_VPS12_LP4_REGRESSION,0.01645047403872013,0.019662104,0.132887607
0.620733153,0.111088037,0.649241047,0.128565858,1.076906938,1.312090825,0.025852473452687263,0.146567003,0.881250434,ectomycorrhizal_richness_rf_VPS10_LP4_REGRESSION,0.01664058119058609,0.019675267,0.137481444
0.62027566,0.124057198,0.646560073,0.120620721,1.063315711,1.302453397,0.026776939630508423,0.135608512,0.881781068,ectomycorrhizal_richness_rf_VPS12_LP2_REGRESSION,0.01725742220878601,0.019591036,0.1299390196800232
0.618944824,0.109755312,0.651266258,0.130805431,1.077609788,1.313180428,0.025339981,0.146858929,0.883311477,ectomycorrhizal_richness_rf_VPS8_LP4_REGRESSION,0.016698136925697327,0.019638264551758766,0.140661367
0.61886943,0.121694578,0.647893827,0.130149629,1.067089455,1.303636673,0.026029398,0.140306785,0.883399036,ectomycorrhizal_richness_rf_VPS10_LP2_REGRESSION,0.017142003402113914,0.018887579441070557,0.132720162
0.618746429,0.114119307,0.652684559,0.130577498,1.073263305,1.309883563,0.024636749,0.148265162,0.883565217,ectomycorrhizal_richness_rf_VPS12_LP6_REGRESSION,0.015778766,0.018731679,0.140639626
0.617355134,0.128118067,0.654078537,0.130135389,1.062493873,1.298849522,0.02551351860165596,0.14128619,0.885160536,ectomycorrhizal_richness_rf_VPS10_LP6_REGRESSION,0.016625817,0.019842357,0.133506403
0.616640227,0.119228597,0.64985168,0.125219174,1.069172994,1.306050718,0.026396195,0.14288558065891266,0.885984236,ectomycorrhizal_richness_rf_VPS8_LP2_REGRESSION,0.017277641221880913,0.019465766847133636,0.134945929
0.616070847,0.097223993,0.654535066,0.12586797,1.086838246,1.32320152,0.025184495374560356,0.150780763,0.886659535,ectomycorrhizal_richness_rf_VPS6_LP4_REGRESSION,0.016203892,0.019136862,0.143693548
0.615087745,0.110744442,0.651376459,0.122585919,1.078191678,1.313174002,0.025980303063988686,0.148341288,0.887772589,ectomycorrhizal_richness_rf_VPS6_LP2_REGRESSION,0.017178356,0.019125424325466156,0.140210757
0.614552352,0.119733147,0.657782707,0.133461323,1.067811263,1.304947731,0.023736240342259407,0.141948612,0.888414238,ectomycorrhizal_richness_rf_VPS12_LP8_REGRESSION,0.015264168381690979,0.018417151644825935,0.135713691
0.614502553,0.110608574,0.657319839,0.135120051,1.075902526,1.31178333,0.02458946593105793,0.144010585,0.888465898,ectomycorrhizal_richness_rf_VPS8_LP6_REGRESSION,0.015922076,0.019078146666288376,0.138455001
0.611308084,0.08793620020151138,0.654822253,0.136716809,1.093723852,1.329103697,0.027299869,0.1519271433353424,0.892095064,ectomycorrhizal_richness_rf_VPS4_LP2_REGRESSION,0.018497390672564507,0.019843702,0.144384833
0.611073769,0.117010063,0.661410738,0.127308892,1.072467121,1.30778028,0.025265296921133995,0.145596713,0.892397709,ectomycorrhizal_richness_rf_VPS10_LP8_REGRESSION,0.016609128,0.018848897,0.136441523
0.6093119382858276,0.09375696629285812,0.660475832,0.133826237,1.093069003,1.325385892,0.025471696630120277,0.152407891,0.89442673,ectomycorrhizal_richness_rf_VPS4_LP4_REGRESSION,0.01658191718161106,0.019738376140594482,0.146309916
0.609149929,0.100272597,0.662406399,0.136223729,1.082853519,1.320093593,0.025181855,0.151628482,0.894607336,ectomycorrhizal_richness_rf_VPS6_LP6_REGRESSION,0.016513175,0.019122134,0.145616606
