Mean_R2_Random,Mean_R2_Spatial,Mean_MAE_Random,StDev_R2_Spatial,Mean_MAE_Spatial,Mean_RMSE_Spatial,StDev_MAE_Spatial,StDev_RMSE_Random,Mean_RMSE_Random,cName,StDev_R2_Random,StDev_MAE_Random,StDev_RMSE_Spatial
0.5980377408055254,0.1771951718423078,0.3093639110648855,0.23212087636052045,0.5328284895152378,0.6779920163523588,0.037617993382342396,0.011954471340167356,0.48499411384773655,rwr_rf_VPS8_LP8_REGRESSION,0.013865620158059361,0.006723149968476026,0.053680841368973546
0.5669420792931661,0.17477532381620986,0.32446479261466415,0.23898201186317894,0.5327488703502025,0.6787485693108999,0.039282089176509556,0.013035083799870041,0.5034642435974932,rwr_rf_VPS6_LP12_REGRESSION,0.013459751793859148,0.007117430495886491,0.05449930896911817
0.5803556297899144,0.17428721136281208,0.3179643944045546,0.238164363214371,0.5319369844852229,0.6790973849859091,0.036786845607216276,0.011938193782835048,0.49554172533230584,rwr_rf_VPS8_LP12_REGRESSION,0.01406254483715235,0.006810731848420431,0.05566261866182935
0.6080783858603025,0.17320734246075037,0.30415561499795946,0.22770324314456059,0.5356681146128087,0.6803114985671184,0.038273292428746136,0.0119702531778902,0.47889060860125776,rwr_rf_VPS8_LP6_REGRESSION,0.014275575513212865,0.006789156964581083,0.05578474883033509
0.5885072512404106,0.17274067639964655,0.31395807461679515,0.23431795940924605,0.5329761684484483,0.679847339968566,0.03651911019815313,0.011971324159217816,0.4907077150635445,rwr_rf_VPS8_LP10_REGRESSION,0.014030530867869814,0.00682228512020745,0.05418933861516416
0.5967728296829808,0.17253817918467598,0.31022770701876967,0.2559808888860624,0.5300403987915756,0.6778644462519433,0.03404799769718721,0.011537233611981269,0.4857181024678416,rwr_rf_VPS10_LP10_REGRESSION,0.014701774424831938,0.006926702889046019,0.05132970029402852
0.6185454796731614,0.17186521318531772,0.2983712223373119,0.23769133154286956,0.5363012437648955,0.6799253165265904,0.037208439438278146,0.011975304042674067,0.472424493549201,rwr_rf_VPS8_LP4_REGRESSION,0.015492062563872535,0.006684068086317462,0.05398665739595905
0.603886300434423,0.17153023309469803,0.3062645472406388,0.246217638460661,0.5326914390886426,0.679037249663446,0.034525773548456234,0.011022363400510809,0.4813882104452282,rwr_rf_VPS10_LP8_REGRESSION,0.014772394756053048,0.006688773997012244,0.0524106764716527
0.5952226347128887,0.17100756743647236,0.3102746833326994,0.23577088572547536,0.5370644670386213,0.6802293736412849,0.03855544955829864,0.012820524873379096,0.48675430021646704,rwr_rf_VPS6_LP6_REGRESSION,0.012834827201121175,0.006986382228321333,0.05288345735926461
0.5755178328399593,0.17020697098389745,0.32031738052987657,0.23471513786221665,0.5361299976505162,0.6809437735988271,0.03834962243396009,0.013052319469797952,0.4984510678202149,rwr_rf_VPS6_LP10_REGRESSION,0.013794470543150163,0.007039985184282311,0.05430212697294409
0.5839651077626983,0.16949706198218434,0.315837157891238,0.22433261941251997,0.5382894342739497,0.6821230905949159,0.04133212987297016,0.012753343761172008,0.4934466737655464,rwr_rf_VPS6_LP8_REGRESSION,0.014079368825327081,0.0068813676505536095,0.05539105957285542
0.6012087009825168,0.168865682514114,0.3078799693037273,0.2565509395886346,0.5287721258455211,0.6790746361726343,0.03460617928143546,0.011571376454490405,0.4830290282828673,rwr_rf_VPS12_LP10_REGRESSION,0.015236977742600685,0.0069496976377033965,0.05152443888982321
0.5888233969604393,0.16798146564391522,0.3141867165952433,0.26295369520998546,0.5320761937413232,0.6791286752900141,0.0324732413139198,0.011688754900513227,0.49049375239179815,rwr_rf_VPS10_LP12_REGRESSION,0.014587921935853319,0.0068417315689835835,0.05074144906181116
0.5325865951063576,0.16579204298467148,0.34102925817854846,0.22123032513144889,0.5380325695505302,0.683782198291805,0.036869700647518,0.015018489945825757,0.523173650662943,rwr_rf_VPS4_LP12_REGRESSION,0.012052331506813433,0.007657237507550952,0.053249853035107826
0.608829724258386,0.1654391707110244,0.30337974366195,0.22991895502356843,0.5405558585891157,0.683595317953287,0.04130739640841078,0.012231766250320469,0.47845046279347164,rwr_rf_VPS6_LP4_REGRESSION,0.01403792744173319,0.006559968984612532,0.056244867390703314
0.5410772712069262,0.16453264503506984,0.33697231213845946,0.22206537452300915,0.5393134057755052,0.6843153011358465,0.03749397311866303,0.01518950845257563,0.5184186220683165,rwr_rf_VPS4_LP10_REGRESSION,0.01174466124327921,0.007587201678776349,0.05378402215689995
0.5936330267042049,0.16313144984117595,0.31177345582140553,0.27521783506625447,0.5296510220223646,0.6800999094613633,0.034680019316282264,0.011428423488928098,0.48759908273923436,rwr_rf_VPS12_LP12_REGRESSION,0.014795960434738381,0.006761510310270111,0.05111547104403706
0.6230254560300001,0.16124312043947314,0.2959558593293102,0.26688897431124237,0.5374588150223276,0.6818307556258766,0.034909182407984504,0.010883392853678769,0.4695869021813854,rwr_rf_VPS10_LP4_REGRESSION,0.015487475404008919,0.00616185323784601,0.051390806872370014
