,lower,mean,upper,latitude
0,,,,-60.0
0,,,,-59.0
0,,,,-58.0
0,0.0443247864022851,0.07861523320258573,0.1312982738018036,-57.0
0,0.044328747110234365,0.08267563814067173,0.1625680774450302,-56.0
0,0.040004736511036754,0.08961606617102447,0.20234686136245728,-55.0
0,0.03568787934879462,0.09894894919073192,0.21180754899978638,-54.0
0,0.04359480179846287,0.1000209074347371,0.1849062405526638,-53.0
0,0.051498908549547195,0.1048257897821721,0.17221521735191345,-52.0
0,0.053900590042273204,0.11675144887374873,0.1807112991809845,-51.0
0,0.05750810833913939,0.12082353397394854,0.178946981827418,-50.0
0,0.05915198806259367,0.12049498272315408,0.16934021562337875,-49.0
0,0.06190455172743116,0.12459825037823544,0.19568351805210113,-48.0
0,0.07322732075339272,0.13990339210234315,0.2547996401786804,-47.0
0,0.08111083507537842,0.15032230878527136,0.28631902166775297,-46.0
0,0.08475674895776643,0.14705810167178546,0.30112220843633014,-45.0
0,0.09106272239895428,0.1439096888804463,0.2700943127274513,-44.0
0,0.09281909269721884,0.13986051558791715,0.23714495982442582,-43.0
0,0.09138271113236746,0.13299739134751198,0.19792860001325607,-42.0
0,0.08647127392200324,0.13377174797137123,0.20652301013469695,-41.0
0,0.08943294602281907,0.14120645926919673,0.21049954369664192,-40.0
0,0.08697320649336124,0.1441540137153765,0.20804158530452035,-39.0
0,0.05713767264234392,0.14042542659579177,0.2103146773118239,-38.0
0,0.05375109886636539,0.13578915620832155,0.2236247574155395,-37.0
0,0.055670996150001886,0.14241779154985978,0.2451464608311653,-36.0
0,0.061544570682007214,0.15346494816381734,0.268674717284739,-35.0
0,0.06541984265341479,0.15982743877576686,0.2881440594792366,-34.0
0,0.06742871345745192,0.15932088645390297,0.3036502659320831,-33.0
0,0.06944914266932756,0.1556512136861853,0.3056955672800541,-32.0
0,0.06354042032250652,0.1505037307808104,0.3016474638134241,-31.0
0,0.05378975803559681,0.14830140090891286,0.31348303300993785,-30.0
0,0.04579193041874812,0.14796389354605013,0.32302069799466565,-29.0
0,0.04209558773286564,0.14569423665234138,0.3095407960591493,-28.0
