Mean_R2,StDev_R2,Mean_RMSE,StDev_RMSE,Mean_MAE,StDev_MAE,cName
0.040007749437781626,0.08109836940834607,0.15509294058841513,0.01562870291390403,0.02405382022036167,0.00459785477680645,ECM_diversity_rf_VPS4_LP6
0.033595938854440496,0.07995914805857869,0.15556771144980697,0.01545799395560399,0.0242013128457304,0.00460838625232966,ECM_diversity_rf_VPS4_LP5
0.0327158609983522,0.07626513193666988,0.1555628671046581,0.014935004057149056,0.024199805621821523,0.0044072528822369506,ECM_diversity_rf_VPS5_LP6
0.0230274868269403,0.09131287150542061,0.15650951784149433,0.016308140300596206,0.024495229174977033,0.004827536461008604,ECM_diversity_rf_VPS3_LP5
0.021529556689394512,0.08336346705666836,0.1565102117925166,0.015487621110828496,0.024495446395338405,0.004603210283007808,ECM_diversity_rf_VPS5_LP5
0.021218423150801934,0.0705437976152687,0.15650951784149433,0.014977341350154437,0.024495229174977033,0.004507933566597032,ECM_diversity_rf_VPS3_LP6
0.019631790865730414,0.055833732209054715,0.156510197692306,0.013939314953993795,0.024495441981684702,0.004216230969287051,ECM_diversity_rf_VPS2_LP4
0.015803306043416232,0.06240310374218775,0.15698065812171785,0.014980158111858523,0.024642927024327667,0.004502735215339436,ECM_diversity_rf_VPS2_LP5
0.00066534688325387,0.0506078332611677,0.15790513850999607,0.013249973955017369,0.024934032767861047,0.003995669676375186,ECM_diversity_rf_VPS2_LP6
-0.007033382421043799,0.10297350790832278,0.15882835839485795,0.016497742244157322,0.025226447430405446,0.00493707872198547,ECM_diversity_rf_VPS3_LP4
-0.03317169469700263,0.1477492652530877,0.16112252694400414,0.01951536239800247,0.025960468688821337,0.005823213774639449,ECM_diversity_rf_VPS5_LP4
-0.03530983084385014,0.12320445228386062,0.16112989866010996,0.01777955132064029,0.025962844242217304,0.005379123084391114,ECM_diversity_rf_VPS4_LP4
