Mean_R2_Random,Mean_R2_Spatial,Mean_MAE_Random,StDev_R2_Spatial,Mean_MAE_Spatial,Mean_RMSE_Spatial,StDev_MAE_Spatial,StDev_RMSE_Random,Mean_RMSE_Random,cName,StDev_R2_Random,StDev_MAE_Random,StDev_RMSE_Spatial
0.379148669699758,0.14594368954348527,2.8846567200866082e-08,0.10555691948685737,4.685492283239381e-08,1.1147209137900733e-07,1.4787677326805229e-08,1.4708822964547473e-08,9.050501762281901e-08,we_rf_VPS12_LP10_REGRESSION,0.05406087286622137,1.9832097481329944e-09,3.781819294285304e-08
0.3713699982170181,0.14493951840150537,2.9093074467662605e-08,0.09677424836519301,4.796694439303916e-08,1.114757179375845e-07,1.4752502294935122e-08,1.541871740206806e-08,9.121588276764064e-08,we_rf_VPS6_LP6_REGRESSION,0.06368734175705867,2.0318830174018617e-09,3.768201181193278e-08
0.37335626814960154,0.14458033009349217,2.911283226580017e-08,0.10939826494586309,4.7190172621251434e-08,1.1146051395362429e-07,1.486460293362334e-08,1.4671539492616646e-08,9.0900929452397e-08,we_rf_VPS12_LP12_REGRESSION,0.052654369483117254,1.9476420999546407e-09,3.7757652336499966e-08
0.356637025926242,0.14411950868363127,2.9702827582800013e-08,0.09673846756965389,4.732581234745199e-08,1.1142267724782737e-07,1.3813647226610176e-08,1.4817721946554535e-08,9.21017355064024e-08,we_rf_VPS8_LP12_REGRESSION,0.05356363538845245,1.9421420102391926e-09,3.7551521390755556e-08
0.3951707806567722,0.14344722164639254,2.826758618406918e-08,0.11487306313623441,4.720638231414001e-08,1.1134306703714035e-07,1.450593953747777e-08,1.48204797541065e-08,8.9384368243722e-08,we_rf_VPS12_LP6_REGRESSION,0.05806557772794325,2.0227954107270302e-09,3.754881070878765e-08
0.3610806175991617,0.14252786242419363,2.957248716412665e-08,0.09540539484731525,4.8441549199203994e-08,1.1156484349289585e-07,1.5108728304507176e-08,1.530908463883282e-08,9.190887970179106e-08,we_rf_VPS6_LP8_REGRESSION,0.06060671549549594,2.040858068607858e-09,3.763118987011145e-08
0.3430220928841813,0.14213963383992073,3.02688704842895e-08,0.10684248616057791,4.7816086399103155e-08,1.1160700205685387e-07,1.477290361166912e-08,1.5129365498622455e-08,9.31079902673078e-08,we_rf_VPS6_LP12_REGRESSION,0.05689486794464372,1.9846879948510905e-09,3.7792440363258755e-08
0.35091838135114956,0.1403832717171009,2.993761653754191e-08,0.10103676548182786,4.8286338103606054e-08,1.1166444590352679e-07,1.4931513397428694e-08,1.5120462619598765e-08,9.256429389610772e-08,we_rf_VPS6_LP10_REGRESSION,0.05821387764833587,2.032972208242503e-09,3.7636637784411293e-08
0.38632931214015986,0.13992448596017856,2.8592160270295645e-08,0.10500230016753989,4.713773681194854e-08,1.1165142682416092e-07,1.4849803257991293e-08,1.478269602314433e-08,9.002338737693981e-08,we_rf_VPS12_LP8_REGRESSION,0.05337567296424484,2.0319712300657566e-09,3.754351585618794e-08
0.3632741696968286,0.1388896576446507,2.941010534819036e-08,0.10536739466029302,4.800845636979437e-08,1.1135979152591668e-07,1.4193653376621909e-08,1.491440327844987e-08,9.166579996581015e-08,we_rf_VPS8_LP10_REGRESSION,0.056135972976570386,1.925996672628723e-09,3.7111597772189906e-08
0.36508291872412285,0.13862867190030756,2.9342201151169712e-08,0.1044492145389048,4.746348557203061e-08,1.1182428451363056e-07,1.4103772689502048e-08,1.470734099634403e-08,9.149016386020901e-08,we_rf_VPS10_LP12_REGRESSION,0.05219972559045394,1.943390719472652e-09,3.774786845452731e-08
0.38471227564374166,0.1363277953046208,2.862890445904878e-08,0.10564715530993214,4.9077198705280376e-08,1.11724267759548e-07,1.485085874963142e-08,1.565588519525269e-08,9.031277554292843e-08,we_rf_VPS6_LP4_REGRESSION,0.06865786682468387,2.0944088788212647e-09,3.74921621653746e-08
0.37581611055220865,0.1356379865037817,2.907336514387702e-08,0.09892372391910095,4.809705132892392e-08,1.1170166147854331e-07,1.4034422349034417e-08,1.5008001613206393e-08,9.080652062776156e-08,we_rf_VPS8_LP8_REGRESSION,0.0579942868401157,1.974413653965368e-09,3.731243262731257e-08
0.39008070300519615,0.13522774763368364,2.8325722937140857e-08,0.10761919296261127,4.8120494541257893e-08,1.1188530368812648e-07,1.5005354765595707e-08,1.494109694481767e-08,8.978601444006734e-08,we_rf_VPS10_LP6_REGRESSION,0.058892499617223835,2.03185931892538e-09,3.756708604625977e-08
0.40045059095954505,0.1337266934872375,2.783666647281919e-08,0.10420805866747256,4.8041403122020184e-08,1.1208808689243336e-07,1.5136230351807506e-08,1.5189056431807443e-08,8.908873743102998e-08,we_rf_VPS12_LP4_REGRESSION,0.06302511238217662,2.0888278097835426e-09,3.780019157597664e-08
0.3850358312565759,0.13169674127619752,2.8706329663861316e-08,0.11524273735181423,4.883588488160808e-08,1.1177732145790881e-07,1.4621041430939553e-08,1.4961904570462063e-08,9.014565986168028e-08,we_rf_VPS8_LP6_REGRESSION,0.05731088359683214,1.9442545619947512e-09,3.725928775769782e-08
0.37255969668190936,0.13134665961999065,2.910976472396409e-08,0.10457091962304672,4.774648721178869e-08,1.1212368569918468e-07,1.4701341184364103e-08,1.4945322580457355e-08,9.103448672560946e-08,we_rf_VPS10_LP10_REGRESSION,0.05458680603574416,2.029812572626691e-09,3.7560153405536835e-08
0.382283818325293,0.13039572434132007,2.8779851864467766e-08,0.10537753079141997,4.769630808369517e-08,1.1216783657231473e-07,1.3947798815870488e-08,1.4991932015181472e-08,9.034407372588998e-08,we_rf_VPS10_LP8_REGRESSION,0.05833520265800959,2.041305961864968e-09,3.760227431387649e-08
0.34101318301147154,0.12834396093111766,3.039811305965357e-08,0.1020923989305863,4.8718610184094845e-08,1.1217406933576735e-07,1.2892021048103994e-08,1.5291942090629554e-08,9.328163614991732e-08,we_rf_VPS4_LP6_REGRESSION,0.058171453562315255,1.9262404834860764e-09,3.7498209660758246e-08
0.3948871320515261,0.12779498234275172,2.825244754406709e-08,0.10530334774154343,4.9573551628362885e-08,1.1198973696065884e-07,1.4904683534432303e-08,1.546059705953498e-08,8.956314100479026e-08,we_rf_VPS8_LP4_REGRESSION,0.0640535027377272,2.075209372562998e-09,3.719554898300663e-08
