,StDev_MAE,cName,Mean_MAE,Mean_R2,Mean_RMSE,StDev_RMSE,StDev_R2
0,0.040469453616128664,Rhizophagus_rf_VPS5_LP4,0.3547914090550843,0.30586407700125867,0.932377046753005,0.1864026637430341,0.1203145499865886
1,0.038499281274190895,Rhizophagus_rf_VPS6_LP5,0.3516691831193783,0.3042602320434315,0.930261123260201,0.1794953427571747,0.1264756766231947
2,0.039079660543460855,Rhizophagus_rf_VPS6_LP6,0.3537554837493801,0.3038134997200772,0.9306450384444755,0.17915910194809764,0.12739726336792964
3,0.03963360892783368,Rhizophagus_rf_VPS5_LP5,0.35540906970747504,0.3037640990716275,0.9341060586850647,0.18671443271749805,0.11822645325113897
4,0.03997135572149454,Rhizophagus_rf_VPS7_LP5,0.34894775407502593,0.3024292392614719,0.9308736520015573,0.17914317843049335,0.13217104396724294
5,0.03980588618442031,Rhizophagus_rf_VPS7_LP6,0.3508584912406395,0.3012365168572784,0.9306536388042289,0.1765964441302837,0.13498199526042828
6,0.04089908477708841,Rhizophagus_rf_VPS6_LP4,0.3523859738853655,0.30088261792493315,0.9331325888942734,0.1828217699594037,0.13206149990770286
7,0.03956301833983519,Rhizophagus_rf_VPS6_LP7,0.3550374735273494,0.2993854941653395,0.9339279141429505,0.1800184107951971,0.12672779305251447
8,0.04177782359199839,Rhizophagus_rf_VPS7_LP4,0.34942720284120504,0.2989546275424178,0.9335954089975104,0.1812088535024559,0.1342826772390733
9,0.039304686987639184,Rhizophagus_rf_VPS4_LP4,0.3591606334546654,0.29842678107814163,0.9387622824740253,0.18892206534031566,0.11455158364745266
