Mean_R2,StDev_R2,Mean_RMSE,StDev_RMSE,Mean_MAE,StDev_MAE,cName
0.10086407767909136,0.07431121343335871,0.2743613401179422,0.010995008831404125,0.0752741449513132,0.005974042008231241,ECM_diversity_rf_VPS5_LP5
0.09630451018811122,0.08141014302857774,0.2749599196507106,0.010921865712458637,0.07560295741432524,0.005938760871149654,ECM_diversity_rf_VPS5_LP6
0.09151935696126268,0.07562671682299454,0.2757649493658707,0.010859385906702428,0.07604630729876123,0.005948881945810572,ECM_diversity_rf_VPS4_LP5
0.08939662227410346,0.06786676024098941,0.2761662511442591,0.01082989944496457,0.07626779827107397,0.005915134608116156,ECM_diversity_rf_VPS4_LP4
0.0890127367033969,0.07257475398569821,0.2761640342027126,0.010717970968051556,0.07626657378711701,0.0058598236808779436,ECM_diversity_rf_VPS5_LP4
0.08670238954069821,0.06227053710310233,0.2765603675262587,0.009845160165371219,0.07648563688625927,0.005402040469019613,ECM_diversity_rf_VPS3_LP4
0.08448472809907279,0.0722477286763301,0.2767635464325408,0.009402272704491173,0.07659806063391716,0.005127535095097522,ECM_diversity_rf_VPS4_LP6
0.08154909347937536,0.06494897545191847,0.2773617967209752,0.010509225533901453,0.07692956628028758,0.005827547114505041,ECM_diversity_rf_VPS3_LP6
0.07853721222767177,0.07620833112918174,0.27776054140631956,0.011366482622537696,0.07715091836233176,0.006283111044685449,ECM_diversity_rf_VPS3_LP5
0.0724527768393961,0.0703573756305328,0.27874484085017726,0.011343903874531948,0.07769868630059062,0.0063296286212316645,ECM_diversity_rf_VPS2_LP4
0.03529100296590522,0.06586425173487222,0.284238134326254,0.010195793878071053,0.0807913170052696,0.005840495723124733,ECM_diversity_rf_VPS2_LP5
0.029978543207154172,0.07199199943589607,0.2850073055972529,0.010894324350716062,0.08122916424380591,0.006226412817102156,ECM_diversity_rf_VPS2_LP6
