,lower,mean,upper,latitude
0,,,,-60.0
0,,,,-59.0
0,0.004739336669445038,0.004739336669445038,0.004739336669445038,-58.0
0,0.004739336669445038,0.010122604808176233,0.033175356686115265,-57.0
0,0.004739336669445038,0.022973977351269232,0.04739336669445038,-56.0
0,0.004739336669445038,0.035004735097567984,0.0758293867111206,-55.0
0,0.004739336669445038,0.04857650921466135,0.10900473594665527,-54.0
0,0.004739336669445038,0.0529960555824051,0.11848340928554535,-53.0
0,0.004739336669445038,0.061664371104455724,0.12796208262443542,-52.0
0,0.004739336669445038,0.07615949820227981,0.12322274595499039,-51.0
0,0.009478673338890076,0.07765376226464052,0.11848340928554535,-50.0
0,0.004739336669445038,0.08203164516063208,0.12322274595499039,-49.0
0,0.004739336669445038,0.08665542931129122,0.12322274595499039,-48.0
0,0.004739336669445038,0.0809749979186581,0.12322274595499039,-47.0
0,0.004739336669445038,0.07345896975700303,0.12796208262443542,-46.0
0,0.004739336669445038,0.08014190546666557,0.14218010008335114,-45.0
0,0.004739336669445038,0.09397205085654381,0.1516587734222412,-44.0
0,0.004739336669445038,0.10938875535896837,0.1611374467611313,-43.0
0,0.004739336669445038,0.11802407014677503,0.1753554493188858,-42.0
0,0.004739336669445038,0.11024320175790268,0.1753554493188858,-41.0
0,0.004739336669445038,0.11356250519492773,0.18009479343891144,-40.0
0,0.004739336669445038,0.126465010868983,0.1895734667778015,-39.0
0,0.004739336669445038,0.13083022424602384,0.19431279599666595,-38.0
0,0.004739336669445038,0.12500839319276139,0.20379146933555603,-37.0
0,0.004739336669445038,0.13449809453280961,0.3222748935222626,-36.0
0,0.04265403002500534,0.15980937254259298,0.3601895868778229,-35.0
0,0.056872036308050156,0.17152334011305181,0.3838862478733063,-34.0
0,0.04739336669445038,0.1675277259713012,0.3507108986377716,-33.0
0,0.04739336669445038,0.16684807981084987,0.3412322402000427,-32.0
0,0.04739336669445038,0.1762266357631929,0.4028435945510864,-31.0
0,0.056872036308050156,0.1924418555753988,0.45497629046440125,-30.0
0,0.061611372977495193,0.20583635757879068,0.5023696422576904,-29.0
