,Variable,Feature_Importance
1,CHELSA_BIO_Annual_Mean_Temperature,0.9857737483603772
0,CGIAR_PET,0.9435437614689827
22,amf_sampling_density,0.8667167141953873
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,0.7111453866641451
4,CHELSA_BIO_Precipitation_Seasonality,0.6047213672648043
19,SG_SOC_Content_005cm,0.5964036873732628
24,climate_stability_index,0.5789554968604057
23,area_sampled,0.5532315723439474
21,SG_Soil_pH_H2O_005cm,0.5236407067148432
20,SG_Sand_Content_005cm,0.49525955262831783
11,EarthEnvTopoMed_Elevation,0.4804921363465091
17,MODIS_NPP,0.4656748854457615
2,CHELSA_BIO_Annual_Precipitation,0.44994163982523555
26,plant_diversity,0.4428545124583819
12,EarthEnvTopoMed_Slope,0.3974692865941439
5,ConsensusLandCover_Human_Development_Percentage,0.38079796552958656
25,extraction_dna_mass,0.34218050227568436
16,GlobBiomass_AboveGroundBiomass,0.3342315119868122
9,EarthEnvTopoMed_AspectCosine,0.3198756697230195
8,EarthEnvTexture_Homogeneity_EVI,0.2984559245612748
6,EarthEnvTexture_CoOfVar_EVI,0.29697835515867743
28,primersAML1_AML2_then_NS31_AM1,0.2910050860619328
10,EarthEnvTopoMed_AspectSine,0.28642026794112707
7,EarthEnvTexture_Correlation_EVI,0.2860346074762445
13,EarthEnvTopoMed_TopoPositionIndex,0.2647471298097226
18,SG_Depth_to_bedrock,0.22539109712789557
46,sequencing_platform454Roche,0.21225781955316406
15,GHS_Population_Density,0.20151490991555826
47,sequencing_platformIllumina,0.19150159605935158
14,EsaCci_BurntAreasProbability,0.10392617840580025
42,primersWANDA_AML2,0.10312543632405094
31,primersAMV4_5NF_AMDGR,0.09252222337444213
41,primersNS31_AML2,0.06547036606251125
43,sample_typerhizosphere_soil,0.05855230390029461
44,sample_typesoil,0.05710428286675103
38,primersNS1_NS4_then_AMV4_5NF_AMDGR,0.024443755760677748
27,primersAML1_AML2_then_AMV4_5NF_AMDGR,0.021351915565654384
40,primersNS31_AM1,0.007491634223783862
35,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,0.005902401708094534
34,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,0.004968667323957848
36,primersNS1_NS41_then_AML1_AML2,0.003851580952245329
39,primersNS1_NS4_then_NS31_AM1,0.0016878897376997736
37,primersNS1_NS4_then_AML1_AML2,0.0015721939131749854
29,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,0.00018958626555588007
32,primersGeoA2_AML2_then_NS31_AMDGR,0.00014823018112960937
45,sample_typetopsoil,7.938743149297444e-05
33,primersGeoA2_NS4_then_NS31_AML2,2.770920432339981e-05
30,primersAMV4_5F_AMDGR,0.0
