Mean_overallAccuracy_Random,Mean_overallAccuracy_Spatial,StDev_overallAccuracy_Spatial,cName,StDev_overallAccuracy_Random
0.9746190193809554,0.9678964904849344,0.015281844227762107,ectomycorrhizal_richness_rf_VPS7_LP6CLASSIFICATION,0.004524915199026775
0.9744865737670885,0.9678412113251778,0.015286592086288625,ectomycorrhizal_richness_rf_VPS7_LP5CLASSIFICATION,0.004644052289594044
0.9744194644235371,0.9678412113251778,0.015286592086288625,ectomycorrhizal_richness_rf_VPS6_LP5CLASSIFICATION,0.00472399090766105
0.9743534167981099,0.9678412113251778,0.015286592086288625,ectomycorrhizal_richness_rf_VPS5_LP4CLASSIFICATION,0.004702320694707132
0.9742189289483028,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS7_LP7CLASSIFICATION,0.004453228549442352
0.9742189289483028,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS5_LP5CLASSIFICATION,0.0045908266094408295
0.9741518172390544,0.9678412113251778,0.015286592086288625,ectomycorrhizal_richness_rf_VPS4_LP2CLASSIFICATION,0.004501999913758118
0.9740867951316865,0.9677204383783178,0.01549341827064263,ectomycorrhizal_richness_rf_VPS5_LP3CLASSIFICATION,0.004789423610862763
0.974086484759523,0.9679619842720377,0.015085633410649096,ectomycorrhizal_richness_rf_VPS6_LP4CLASSIFICATION,0.0046405113118822925
0.9740859492842887,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS6_LP6CLASSIFICATION,0.004425860157721182
0.9740190148800048,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS4_LP3CLASSIFICATION,0.004422281149686198
0.9740186612106856,0.9678412113251778,0.015286592086288625,ectomycorrhizal_richness_rf_VPS6_LP7CLASSIFICATION,0.004464193293679373
0.9739531942502161,0.9678412113251778,0.015286592086288625,ectomycorrhizal_richness_rf_VPS7_LP4CLASSIFICATION,0.004689100735485924
0.9739523924511037,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS2_LP3CLASSIFICATION,0.004315752117052199
0.9739523924511037,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS2_LP2CLASSIFICATION,0.004315752117052199
0.9739523924511037,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS2_LP6CLASSIFICATION,0.004315752117052199
0.9739523924511037,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS3_LP7CLASSIFICATION,0.004315752117052199
0.9739523924511037,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS3_LP6CLASSIFICATION,0.004315752117052199
0.9739523924511037,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS3_LP5CLASSIFICATION,0.004315752117052199
0.9739523924511037,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS2_LP4CLASSIFICATION,0.004315752117052199
0.9739523924511037,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS3_LP4CLASSIFICATION,0.004315752117052199
0.9739523924511037,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS3_LP3CLASSIFICATION,0.004315752117052199
0.9739523924511037,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS3_LP2CLASSIFICATION,0.004315752117052199
0.9739523924511037,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS2_LP7CLASSIFICATION,0.004315752117052199
0.9739523924511037,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS2_LP5CLASSIFICATION,0.004315752117052199
0.9738853278773523,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS5_LP6CLASSIFICATION,0.004422744029746722
0.9738191921849693,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS4_LP5CLASSIFICATION,0.004422904790800125
0.9738191921849693,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS4_LP7CLASSIFICATION,0.004422904790800125
0.9738190148800048,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS5_LP7CLASSIFICATION,0.00440350351262698
0.9737525255183026,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS4_LP4CLASSIFICATION,0.004343600806787543
0.9737525255183026,0.9677859321654211,0.015293136903944099,ectomycorrhizal_richness_rf_VPS4_LP6CLASSIFICATION,0.004343600806787543
0.9736207886681612,0.9677204383783178,0.01549341827064263,ectomycorrhizal_richness_rf_VPS6_LP3CLASSIFICATION,0.004585667224660337
0.9732218542180325,0.9679619842720377,0.015085633410649096,ectomycorrhizal_richness_rf_VPS7_LP3CLASSIFICATION,0.005049086825361489
0.9728879883071959,0.9678412113251778,0.015286592086288625,ectomycorrhizal_richness_rf_VPS5_LP2CLASSIFICATION,0.0050796796396130085
0.9706228577148703,0.9679619842720377,0.015085633410649096,ectomycorrhizal_richness_rf_VPS6_LP2CLASSIFICATION,0.004251651240376568
0.967958840830123,0.9680172634317945,0.015080379581940919,ectomycorrhizal_richness_rf_VPS7_LP2CLASSIFICATION,0.0049226210728119816
