buffer_size,rep,r2
1000.0,0,0.5056757187503462
1000.0,1,0.5038826612148555
1000.0,2,0.5016100648834351
1000.0,3,0.5013703602463591
1000.0,4,0.5003890845095469
1000.0,5,0.5037610695797528
1000.0,6,0.5029361206496372
1000.0,7,0.5021889286321628
1000.0,8,0.5002439055331047
1000.0,9,0.49852221422132537
2500.0,0,0.48782634952788595
2500.0,1,0.4890928538002519
2500.0,2,0.4863122601471275
2500.0,3,0.48399755780737397
2500.0,4,0.482444619762356
2500.0,5,0.48785567774686234
2500.0,6,0.48687408098037255
2500.0,7,0.4863027955813459
2500.0,8,0.4854025721636066
2500.0,9,0.4839876308417588
5000.0,0,0.478609036923038
5000.0,1,0.4758138223225078
5000.0,2,0.4721566399316425
5000.0,3,0.4718011848338982
5000.0,4,0.4748050763466397
5000.0,5,0.47525561615068523
5000.0,6,0.47501526990539444
5000.0,7,0.4736917010309105
5000.0,8,0.4711675378004593
5000.0,9,0.4715152964671988
10000.0,0,0.46229158821295546
10000.0,1,0.46195630265109333
10000.0,2,0.45920913792358975
10000.0,3,0.4592100522099283
10000.0,4,0.4601249495335926
10000.0,5,0.46168878032895777
10000.0,6,0.4602754245903369
10000.0,7,0.460776504447026
10000.0,8,0.45767529344225943
10000.0,9,0.4566219754473432
50000.0,0,0.4171787628047321
50000.0,1,0.41984403358293154
50000.0,2,0.41903688683241236
50000.0,3,0.41593856936071605
50000.0,4,0.42403763862176735
50000.0,5,0.42399570563280276
50000.0,6,0.4189382112005975
50000.0,7,0.4149807802251486
50000.0,8,0.4194904770147989
50000.0,9,0.41722080606625356
100000.0,0,0.40156343997650223
100000.0,1,0.39415251704998167
100000.0,2,0.39800085986229783
100000.0,3,0.39819164887219494
100000.0,4,0.40300135199027975
100000.0,5,0.40438064993025835
100000.0,6,0.3962340515645467
100000.0,7,0.4019210134675507
100000.0,8,0.39593664381438454
100000.0,9,0.39900166287955086
250000.0,0,0.37241835690748737
250000.0,1,0.37588360727738135
250000.0,2,0.3717163157439042
250000.0,3,0.368789659486525
250000.0,4,0.37582176802934875
250000.0,5,0.37545399118498435
250000.0,6,0.367066505924899
250000.0,7,0.36990315233983495
250000.0,8,0.3683303349389784
250000.0,9,0.3721995163072942
500000.0,0,0.3258318593381515
500000.0,1,0.3207764097430844
500000.0,2,0.31877344819354136
500000.0,3,0.32165179497013663
500000.0,4,0.32614526369521535
500000.0,5,0.3191530180472152
500000.0,6,0.31880757652323
500000.0,7,0.3291790544244949
500000.0,8,0.3193429710718796
500000.0,9,0.31575748414030513
750000.0,0,0.29084208287447244
750000.0,1,0.29077620057422493
750000.0,2,0.2928559633422827
750000.0,3,0.2954515965852378
750000.0,4,0.292276946477537
750000.0,5,0.2948767201479846
750000.0,6,0.2911635249749738
750000.0,7,0.298160092048264
750000.0,8,0.2922923148456278
750000.0,9,0.29204806072005607
1000000.0,0,0.29846903684124293
1000000.0,1,0.2978077020334078
1000000.0,2,0.3060998403007864
1000000.0,3,0.29481338250381184
1000000.0,4,0.2982333698013966
1000000.0,5,0.2971795649935922
1000000.0,6,0.2941094829292539
1000000.0,7,0.2966548017476447
1000000.0,8,0.2977311563324543
1000000.0,9,0.30596252758430287
1500000.0,0,0.2848110944058344
1500000.0,1,0.2871017635091183
1500000.0,2,0.29154761687188413
1500000.0,3,0.2828691356169877
1500000.0,4,0.28548360098898806
1500000.0,5,0.2875574406989658
1500000.0,6,0.28326982358219155
1500000.0,7,0.29065061762728484
1500000.0,8,0.2742857460506918
1500000.0,9,0.2897788954349084
2000000.0,0,0.27889890867004774
2000000.0,1,0.2777879793721303
2000000.0,2,0.2836843476889347
2000000.0,3,0.28301941785468854
2000000.0,4,0.2704045919667636
2000000.0,5,0.2764735664195863
2000000.0,6,0.2806442186343906
2000000.0,7,0.2716050419515762
2000000.0,8,0.28144337217482396
2000000.0,9,0.2786841486876338
