Mean_R2,StDev_R2,Mean_RMSE,StDev_RMSE,Mean_MAE,StDev_MAE,cName
0.026781612515579933,0.07805737061438214,0.17397150247007814,0.018439457721022137,0.030266083671696403,0.006605927778812421,ECM_diversity_rf_VPS3_LP5
0.026781612515579933,0.07805737061438214,0.17397150247007814,0.018439457721022137,0.030266083671696403,0.006605927778812421,ECM_diversity_rf_VPS5_LP6
0.023188358547325972,0.07640131505812542,0.17438217801534964,0.018793253622062932,0.03040914400937709,0.006708690810427365,ECM_diversity_rf_VPS4_LP5
0.02267539249577184,0.051371754856758066,0.1743660778774222,0.01779567532237543,0.03040352911435526,0.006333713663541124,ECM_diversity_rf_VPS2_LP4
0.0203825812190076,0.08904131739226916,0.17438934623211805,0.018097046194696563,0.030411644079265544,0.006497826430828968,ECM_diversity_rf_VPS4_LP6
0.014846100850547638,0.03933489541709745,0.17518576204799663,0.018228762197871506,0.0306900512243373,0.0065489592785957255,ECM_diversity_rf_VPS2_LP5
0.012633887050157,0.06688111822397973,0.17520240776527218,0.018026428030919733,0.030695883686748703,0.006502366085152238,ECM_diversity_rf_VPS3_LP6
0.004994243145813715,0.03889190077937532,0.1760034130584187,0.018017630703333443,0.030977201408212363,0.0064869780035369945,ECM_diversity_rf_VPS2_LP6
0.0041029532845838325,0.0978170116505083,0.17602822313805774,0.01940763500202345,0.030985935341141847,0.006944091804623555,ECM_diversity_rf_VPS5_LP5
0.0015616507494430887,0.0942359758054282,0.17603120202505457,0.018298927851531248,0.030986984086385568,0.006610847682843464,ECM_diversity_rf_VPS3_LP4
-0.02387467392443716,0.1096993369119468,0.17806357033125306,0.017991885887204365,0.0317066350791131,0.006527781613316612,ECM_diversity_rf_VPS4_LP4
-0.026140395172124943,0.12639806998520844,0.17806708518746933,0.01762005859350407,0.031707886827161455,0.006343170496883048,ECM_diversity_rf_VPS5_LP4
