Mean_R2,StDev_R2,Mean_RMSE,StDev_RMSE,Mean_MAE,StDev_MAE,cName
0.03056228714187621,0.05434515094831623,0.17355144564377942,0.0167030361832149,0.030120104285045725,0.005655430845907468,ECM_diversity_rf_VPS2_LP3
0.030220155292332063,0.0336431250097505,0.17354726434144963,0.016140333604215955,0.030118652960400987,0.005537474255626473,ECM_diversity_rf_VPS2_LP4
0.023851322452970503,0.023346865720515045,0.1739613164818844,0.015149473494047805,0.030262539632110334,0.005174045743719534,ECM_diversity_rf_VPS3_LP5
0.021036542591517538,0.02479931157762408,0.17437795586168683,0.01607712118607643,0.030407671490500405,0.005469665709813956,ECM_diversity_rf_VPS4_LP5
0.01720938654286085,0.03304714671350942,0.17479127291378987,0.01666751920174964,0.030551989086822978,0.005743333455162938,ECM_diversity_rf_VPS2_LP5
0.011646679838426165,0.04920529952680454,0.17520589913321777,0.016486375799044026,0.030697107091079274,0.005612408313111252,ECM_diversity_rf_VPS5_LP5
0.007366194322634556,0.054997863399737,0.17520118265905218,0.014587202669370181,0.030695454405130572,0.00502121149496061,ECM_diversity_rf_VPS3_LP4
0.007300700127384307,0.0659377856746994,0.17561422693739748,0.017049809246364043,0.030840356702819743,0.005831722555749679,ECM_diversity_rf_VPS6_LP5
-0.004951725083490699,0.07220126463235171,0.17642697290844317,0.015977645848945846,0.031126476769636542,0.005532616678792221,ECM_diversity_rf_VPS7_LP5
-0.007979104349787037,0.07894244249111676,0.1768460070222146,0.01695871277005487,0.03127451019970118,0.005763532942158831,ECM_diversity_rf_VPS2_LP2
-0.016359386977240088,0.07370472985502112,0.1772453858778907,0.01507323797946149,0.03141592681500238,0.005220023308946019,ECM_diversity_rf_VPS3_LP3
-0.018257371364979003,0.0847893344842446,0.1772383364960451,0.014500752215865956,0.03141342792388531,0.005045610797069802,ECM_diversity_rf_VPS4_LP4
-0.024662445465181093,0.07505552269607739,0.17806530428282002,0.015683831086656625,0.03170725258933328,0.005403000782333529,ECM_diversity_rf_VPS5_LP4
-0.058597999380770836,0.0943157673189435,0.18087426302205778,0.01603773854776785,0.032715499023772535,0.005740166795316608,ECM_diversity_rf_VPS4_LP3
-0.059097061600263213,0.10615368525716566,0.1808754557344819,0.016303942251973323,0.03271593048715653,0.00578349292915007,ECM_diversity_rf_VPS6_LP4
-0.06936166236726975,0.1025326813545516,0.18166520431600144,0.01569497436928979,0.03300224645917456,0.0055658215610341595,ECM_diversity_rf_VPS7_LP4
-0.09521970873787877,0.10871808852566954,0.18364773363324188,0.014969465487997035,0.033726490068626165,0.005393128093141872,ECM_diversity_rf_VPS6_LP3
-0.09991464011442446,0.1129390621709635,0.18404132109098653,0.015191627678645405,0.0338712078689156,0.0054757916100229695,ECM_diversity_rf_VPS5_LP3
-0.13023706815195146,0.10163833714695981,0.1863715280867482,0.013438361325365364,0.03473434648138957,0.004877497286603691,ECM_diversity_rf_VPS7_LP3
-0.20496222079103626,0.10973828504840173,0.19320792918512156,0.018323352763155533,0.037329303900002934,0.006832589785636511,ECM_diversity_rf_VPS3_LP2
-0.2969707979403567,0.11472583743315937,0.2001714412470111,0.01738921959273976,0.04006860589090562,0.006707376374952688,ECM_diversity_rf_VPS4_LP2
-0.363031827147623,0.12332070289610804,0.20514764330067553,0.0175444075940832,0.0420855555518212,0.006923318112426193,ECM_diversity_rf_VPS5_LP2
-0.37677976878091235,0.14830815367839925,0.2062026197310246,0.018790848368587715,0.04251952038393753,0.007499765671093252,ECM_diversity_rf_VPS7_LP2
-0.3811173122068099,0.14563395679922078,0.20654720769724363,0.018670886644781108,0.042661749007528296,0.007431414318852649,ECM_diversity_rf_VPS6_LP2
