Mean_R2,StDev_R2,Mean_RMSE,StDev_RMSE,Mean_MAE,StDev_MAE,cName
0.43506174255180435,0.09716066333475047,8.635313657238212,2.592101979277573,4.049546382650512,0.48466942508422195,AMF_diversity_rf_VPS7_LP4
0.4322507455607906,0.09370896522625773,8.646686371444389,2.5730028971917607,4.063602188940522,0.47489369390727393,AMF_diversity_rf_VPS7_LP5
0.4293535337683633,0.09579986344147438,8.698089385908805,2.639220802259608,4.08041896862248,0.4723123665990307,AMF_diversity_rf_VPS7_LP6
0.42861110870799973,0.09319863604597939,8.6801739605144,2.5857264153782276,4.056413393324556,0.4484345394654149,AMF_diversity_rf_VPS6_LP4
0.42651755377018735,0.1010760824690376,8.728891616855776,2.6694609251838073,4.082330517640903,0.49986077029815357,AMF_diversity_rf_VPS5_LP4
0.426399928694845,0.09536578220877516,8.698007565119557,2.600846424588575,4.085064367037977,0.477378490414756,AMF_diversity_rf_VPS6_LP5
0.424992995417083,0.09407518811519136,8.720301247593946,2.618075649525783,4.093758369663117,0.47335034935520065,AMF_diversity_rf_VPS6_LP6
0.42398541905138193,0.09708981551511689,8.734892077781945,2.6430994196781676,4.115833335234999,0.4751306423030867,AMF_diversity_rf_VPS7_LP7
0.42361811821181883,0.09498156650438273,8.734185610897798,2.6267816457089466,4.1061519277935155,0.48018028652414635,AMF_diversity_rf_VPS5_LP5
0.4225626364274457,0.09867804259102453,8.751806209285547,2.6512672988991657,4.113235158376584,0.4697699558286379,AMF_diversity_rf_VPS4_LP4
0.419295779499641,0.09533661331318645,8.76744454645661,2.636684398934828,4.137652536375986,0.48209534334250925,AMF_diversity_rf_VPS5_LP6
0.41873351708104395,0.08999193374607896,8.753995283341393,2.593803798349026,4.145330471224592,0.46148390261223626,AMF_diversity_rf_VPS6_LP7
0.4163786602903416,0.10059321471621316,8.809693822154726,2.6900610625964907,4.166745487278507,0.5004832274186689,AMF_diversity_rf_VPS4_LP6
0.41570115265446084,0.09589617845576401,8.793758199944046,2.640682787765589,4.169008214936205,0.4858438416460866,AMF_diversity_rf_VPS5_LP7
0.41503175017107247,0.09564218788718286,8.798755039441962,2.6400155836765706,4.148773779153959,0.5005634139200258,AMF_diversity_rf_VPS4_LP5
0.4148265118305007,0.08599956584478592,8.777981105479068,2.5765147085700244,4.165869751769516,0.47029603752711996,AMF_diversity_rf_VPS3_LP4
0.40736982228323004,0.09263568010886208,8.845442048973279,2.6281692916285553,4.202124647691959,0.4856063966182528,AMF_diversity_rf_VPS4_LP7
0.4058068312238102,0.09290927481134459,8.859587606274543,2.6369327148184007,4.225938706016831,0.4851944299105961,AMF_diversity_rf_VPS3_LP5
0.39792408520290456,0.09211994316071459,8.913039383885488,2.6394180134267233,4.2467428718773474,0.49221432822541017,AMF_diversity_rf_VPS3_LP6
0.3908208718493883,0.08680791326578473,8.940212829953113,2.5919982330556914,4.282637572710849,0.4752476961346331,AMF_diversity_rf_VPS3_LP7
0.3881949541758875,0.08493931207389861,8.947805651137912,2.5675806733633793,4.283423663536937,0.4695102583992556,AMF_diversity_rf_VPS2_LP4
0.3808980809118321,0.09038040805995147,9.024573534969143,2.638601811684336,4.351321635650196,0.4918700968580867,AMF_diversity_rf_VPS2_LP5
0.37382314466130057,0.08820118738985291,9.064933083673706,2.624362574598923,4.374654616945554,0.49007183306258917,AMF_diversity_rf_VPS2_LP6
0.36430530707206726,0.08431661794676162,9.121380664757242,2.6102997211953536,4.4199831895243245,0.49274427203915727,AMF_diversity_rf_VPS2_LP7
