Mean_overallAccuracy_Random,Mean_overallAccuracy_Spatial,StDev_overallAccuracy_Spatial,cName,StDev_overallAccuracy_Random
0.9746882039648144,0.967192673007462,0.015367567752492562,ectomycorrhizal_richness_rf_VPS12_LP8CLASSIFICATION,0.003790695967185303
0.9745547801439203,0.9670429724086598,0.015419027618500804,ectomycorrhizal_richness_rf_VPS12_LP6CLASSIFICATION,0.0037516594768286777
0.9744893992820547,0.9670429724086598,0.015419027618500804,ectomycorrhizal_richness_rf_VPS10_LP6CLASSIFICATION,0.004032738659414801
0.9744881130630295,0.967192673007462,0.015367567752492562,ectomycorrhizal_richness_rf_VPS8_LP6CLASSIFICATION,0.003848269257215719
0.9743556670944322,0.967192673007462,0.015367567752492562,ectomycorrhizal_richness_rf_VPS10_LP8CLASSIFICATION,0.004081861489843439
0.974355357367999,0.9674920742050668,0.015303716706191496,ectomycorrhizal_richness_rf_VPS6_LP6CLASSIFICATION,0.0039297299067586515
0.9742888654035629,0.9673423736062645,0.015329098127474936,ectomycorrhizal_richness_rf_VPS12_LP10CLASSIFICATION,0.003881127686403342
0.9740896204057353,0.9674920742050668,0.015303716706191496,ectomycorrhizal_richness_rf_VPS4_LP6CLASSIFICATION,0.003812375960538213
0.9739557960710252,0.967192673007462,0.015367567752492562,ectomycorrhizal_richness_rf_VPS8_LP8CLASSIFICATION,0.0036595998323783073
0.9739542442382889,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS2_LP12CLASSIFICATION,0.0034821576315304196
0.9739542442382889,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS2_LP10CLASSIFICATION,0.0034821576315304196
0.9739542442382889,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS2_LP8CLASSIFICATION,0.0034821576315304196
0.9738892624715575,0.9674920742050668,0.015303716706191496,ectomycorrhizal_richness_rf_VPS10_LP10CLASSIFICATION,0.0038174798284825247
0.9738889059634124,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS8_LP10CLASSIFICATION,0.0036158783431624237
0.9738879312409414,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS2_LP6CLASSIFICATION,0.0034969393934662966
0.9738228172888332,0.9673423736062645,0.015329098127474936,ectomycorrhizal_richness_rf_VPS6_LP8CLASSIFICATION,0.0037012932994396623
0.9738218388457142,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS4_LP12CLASSIFICATION,0.0034703607865135353
0.9737553048924618,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS4_LP10CLASSIFICATION,0.0032610158455910992
0.9736889484802657,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS6_LP12CLASSIFICATION,0.0033137885588053716
0.9736889484802657,0.9674920742050668,0.015303716706191496,ectomycorrhizal_richness_rf_VPS10_LP12CLASSIFICATION,0.0035344456034228145
0.9736889484802657,0.9674920742050668,0.015303716706191496,ectomycorrhizal_richness_rf_VPS12_LP12CLASSIFICATION,0.0034452987535719005
0.9736881527248838,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS2_LP4CLASSIFICATION,0.0035152102177986116
0.9736232616953806,0.9674920742050668,0.015303716706191496,ectomycorrhizal_richness_rf_VPS4_LP4CLASSIFICATION,0.00411069536113235
0.9735561043684919,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS8_LP12CLASSIFICATION,0.0034667972947817374
0.9735556151469323,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS6_LP10CLASSIFICATION,0.0034435806278022836
0.9735555263764042,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS4_LP8CLASSIFICATION,0.0032859777167407404
0.973555172707085,0.9677914754026716,0.015292445546994143,ectomycorrhizal_richness_rf_VPS2_LP2CLASSIFICATION,0.0033295025306509887
0.9722918738732652,0.967192673007462,0.015367567752492562,ectomycorrhizal_richness_rf_VPS6_LP4CLASSIFICATION,0.0043041428993948
0.9721587576422683,0.9672318392638035,0.015462392826187922,ectomycorrhizal_richness_rf_VPS8_LP4CLASSIFICATION,0.003940968508999207
0.9719598699205951,0.9668932718098573,0.01548334820443747,ectomycorrhizal_richness_rf_VPS10_LP4CLASSIFICATION,0.004330280546700343
0.971558977700178,0.9668218797466853,0.015611197707203461,ectomycorrhizal_richness_rf_VPS12_LP4CLASSIFICATION,0.004142134269110158
0.9658972420069343,0.9674598483982363,0.015461302567885324,ectomycorrhizal_richness_rf_VPS4_LP2CLASSIFICATION,0.004576588249776265
0.9634302587304051,0.9673032313269756,0.015360600402890424,ectomycorrhizal_richness_rf_VPS6_LP2CLASSIFICATION,0.005099886767716979
0.9626324764737854,0.9669001882823156,0.01566538388938007,ectomycorrhizal_richness_rf_VPS8_LP2CLASSIFICATION,0.005957418908605466
0.962632120978037,0.967066025761586,0.015660862927504692,ectomycorrhizal_richness_rf_VPS10_LP2CLASSIFICATION,0.005313802802449676
0.9616988292031226,0.9667886357434654,0.015753617856723894,ectomycorrhizal_richness_rf_VPS12_LP2CLASSIFICATION,0.005340362697015769
