"r2","buffer_size"
0.343544335147872,2500
0.281702610752422,5000
0.305597297502033,10000
0.140580673955629,50000
0.0925482924411935,1e+05
0.108182422087693,250000
0.0321192647569715,5e+05
0.0271249761767172,750000
0.0375501941793334,1e+06
