Mean_R2,StDev_R2,Mean_RMSE,StDev_RMSE,Mean_MAE,StDev_MAE,cName
0.05251923316043254,0.052373623905776906,0.28169714677754243,0.008410674411437436,0.07935328250260829,0.004779420395485598,ECM_diversity_rf_VPS3_LP6
0.04984037216361968,0.05381399161541628,0.28209300455728953,0.008638552294417417,0.07957646322015896,0.0049199581433464375,ECM_diversity_rf_VPS2_LP5
0.045744034543930875,0.06259809033556789,0.2826784243248593,0.009328234773237978,0.07990709157878519,0.005308160647353059,ECM_diversity_rf_VPS3_LP5
0.0444503091886427,0.04933446991691029,0.28287706772975607,0.007745368783930281,0.08001943544738499,0.004443110227053351,ECM_diversity_rf_VPS2_LP6
0.040536612380314474,0.059176093677302956,0.28345485281819643,0.009067000058275458,0.08034665358618542,0.005175084780217453,ECM_diversity_rf_VPS5_LP6
0.03827576281385401,0.053538264981808914,0.2838529920806645,0.009262596987051942,0.08057252111314578,0.0052768180394323575,ECM_diversity_rf_VPS4_LP6
0.03365740957440011,0.06783597833580228,0.28443203328640115,0.009631324655732682,0.08090158155943641,0.005474662702164544,ECM_diversity_rf_VPS5_LP5
0.033234556214264244,0.05629547382993218,0.2846225749797338,0.010047821674267548,0.08101001018809416,0.00578349488558588,ECM_diversity_rf_VPS2_LP4
0.03151658718087578,0.07057398658517611,0.2848125708913466,0.011104351144807833,0.08111820053773834,0.006401704682059856,ECM_diversity_rf_VPS3_LP4
0.02708075716456799,0.06301294446604772,0.28559471712911905,0.011756048164672028,0.08156434245206154,0.006847871966865468,ECM_diversity_rf_VPS4_LP5
0.009911890974242988,0.07827156783774562,0.2878930485678428,0.010893849979100225,0.08288240741368631,0.006305539101297512,ECM_diversity_rf_VPS4_LP4
0.0007851899032457644,0.07631034475962305,0.289230129797491,0.010808419590378515,0.08365406798267348,0.0062624241113699115,ECM_diversity_rf_VPS5_LP4
