,StDev_MAE,cName,Mean_MAE,Mean_R2,Mean_RMSE,StDev_RMSE,StDev_R2
0,0.028467842080260493,Diversispora_rf_VPS3_LP4,0.13621279685754123,0.3241477301783553,0.5216425426395461,0.2668053860605804,0.1823647927802991
1,0.028705095211252852,Diversispora_rf_VPS3_LP5,0.13747885370662308,0.32287891131931284,0.523556027730356,0.26780116549092625,0.1704330161906326
2,0.02820869187042681,Diversispora_rf_VPS4_LP4,0.13487661977081816,0.32221440893073144,0.5203243176583764,0.264777387427299,0.18660274807149926
3,0.02861081515303336,Diversispora_rf_VPS5_LP4,0.1351808600675956,0.31978589532457263,0.5200554670728406,0.2636222902171902,0.18962613424241423
4,0.028801296977130533,Diversispora_rf_VPS2_LP4,0.13802608832095734,0.31940584656725635,0.5255866008367291,0.2691129862393849,0.16600735550408163
5,0.02813605329806348,Diversispora_rf_VPS4_LP5,0.13624162743788706,0.31730709184346506,0.5221204027492443,0.2645775706097815,0.17759268906591957
6,0.027980929607409374,Diversispora_rf_VPS6_LP4,0.13469640751576628,0.31683476501744623,0.5194803513510594,0.2620087145968796,0.19265643490112824
7,0.028206795230057688,Diversispora_rf_VPS4_LP6,0.13750379497242513,0.31661623617347673,0.5227491298708631,0.2642662369568383,0.17018747607341153
8,0.02899642214468416,Diversispora_rf_VPS3_LP6,0.1386595347556967,0.3165739901312431,0.5257523191449046,0.2679426399002708,0.16535060243590993
9,0.02902833392043017,Diversispora_rf_VPS2_LP5,0.13887204518414492,0.3165642041802462,0.5263722234740674,0.26844846376474263,0.15779787720339924
